# pos_1,average_velocity_axis
1.389139705019461386e-03,5.270667152752442353e-02
2.470278535103650856e-03,5.164287420065352685e-02
4.392845456035934966e-03,4.719657827202724393e-02
7.811706625951745156e-03,4.379966596510276311e-02
1.389139705019461560e-02,4.242721570376582763e-02
2.470278535103651030e-02,4.947589550871048930e-02
4.392845456035934792e-02,5.924312900458851561e-02
7.811706625951746197e-02,7.126142326624120005e-02
1.389139705019461490e-01,7.957536614506724448e-02
2.470278535103651030e-01,8.953266984026507502e-02
4.392845456035935348e-01,1.008078934810243410e-01
7.811706625951745364e-01,1.059985726611238355e-01
