# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,1.000849998096906973e-01,0.000000000000000000e+00
2.470278535103650856e-03,1.003082024042204062e-01,0.000000000000000000e+00
4.392845456035934966e-03,9.912352012968529691e-02,0.000000000000000000e+00
7.811706625951745156e-03,1.011472064622074840e-01,0.000000000000000000e+00
1.389139705019461560e-02,1.129146197561339549e-01,2.500000000000000000e-01
2.470278535103651030e-02,1.255306173180501805e-01,2.500000000000000000e-01
4.392845456035934792e-02,1.334422691421497109e-01,2.500000000000000000e-01
7.811706625951746197e-02,1.324500932429236721e-01,2.500000000000000000e-01
1.389139705019461490e-01,1.307812743038093695e-01,2.500000000000000000e-01
2.470278535103651030e-01,1.273802433977146986e-01,5.000000000000000000e-01
4.392845456035935348e-01,1.216402427770619243e-01,5.000000000000000000e-01
7.811706625951745364e-01,1.148607276706349600e-01,7.500000000000000000e-01
