# pos_1,concentration
1.389139705019461386e-03,4.017464523866626780e-01
2.470278535103650856e-03,3.953576067448653086e-01
4.392845456035934966e-03,3.811301494302727355e-01
7.811706625951745156e-03,7.144174443353845660e-01
1.389139705019461560e-02,1.014409792276322886e+00
2.470278535103651030e-02,9.488582561876770516e-01
4.392845456035934792e-02,1.009994895990222741e+00
7.811706625951746197e-02,9.180264159709691230e-01
1.389139705019461490e-01,1.079693590789155611e+00
2.470278535103651030e-01,1.002513931388765656e+00
4.392845456035935348e-01,1.011582938279515842e+00
7.811706625951745364e-01,9.991127959030352557e-01
