# pos_1,concentration
1.389139705019461386e-03,8.038070637132586072e-01
2.470278535103650856e-03,4.520139294058770907e-01
4.392845456035934966e-03,6.354652801664946171e-01
7.811706625951745156e-03,5.717574204180527753e-01
1.389139705019461560e-02,9.243781232702470430e-01
2.470278535103651030e-02,1.017031341163223912e+00
4.392845456035934792e-02,1.016744448266391210e+00
7.811706625951746197e-02,9.862815502211410568e-01
1.389139705019461490e-01,9.967207590044403487e-01
2.470278535103651030e-01,9.560094606934301797e-01
4.392845456035935348e-01,1.002764212102728481e+00
7.811706625951745364e-01,1.024875176099359741e+00
