# surftimeconst,average_velocity_axis_2_t_inf__params_0o8,average_velocity_axis_2_t_inf__params_0o4,average_velocity_axis_2_t_inf__params_0o2,average_velocity_axis_2_t_inf__params_0o1,average_velocity_axis_2_t_inf__params_0o05
0.000000000000000000e+00,8.224477118098643125e-01,4.078834940364424178e-01,2.073525944142819988e-01,1.055853071798575904e-01,5.333759389284242758e-02
6.122448979591836593e-02,8.042793647018151582e-01,4.047595191166594164e-01,2.076933902676534049e-01,1.075673546939767272e-01,5.546989312969274888e-02
1.224489795918367319e-01,7.861705025388245893e-01,4.012490101808188769e-01,2.077833966981055547e-01,1.093052785592198706e-01,5.740359151734787668e-02
1.836734693877550839e-01,7.681342626427843934e-01,3.973720153198391780e-01,2.076327373768151741e-01,1.108079320540245882e-01,5.914560453303446125e-02
2.448979591836734637e-01,7.501837823355868018e-01,3.931485826246388093e-01,2.072515359749589614e-01,1.120841684568283508e-01,6.070284765397918059e-02
3.061224489795918435e-01,7.323321989391233799e-01,3.885987601861364271e-01,2.066499161637135873e-01,1.131428410460687123e-01,6.208223635740871965e-02
3.673469387755101678e-01,7.145926497752862483e-01,3.837425960952505211e-01,2.058380016142557500e-01,1.139928031001831987e-01,6.329068612054973564e-02
4.285714285714285476e-01,6.969782721659670832e-01,3.786001384428994698e-01,2.048259159977621757e-01,1.146429078976093224e-01,6.433511242062889268e-02
4.897959183673469274e-01,6.795022034330583383e-01,3.731914353200018186e-01,2.036237829854095627e-01,1.151020087167845818e-01,6.522243073487286880e-02
5.510204081632652517e-01,6.621775808984514677e-01,3.675365348174762237e-01,2.022417262483746092e-01,1.153789588361465585e-01,6.595955654050833505e-02
6.122448979591836871e-01,6.450175418840385921e-01,3.616554850262410636e-01,2.006898694578339581e-01,1.154826115341327231e-01,6.655340531476196253e-02
6.734693877551020114e-01,6.280352237117116099e-01,3.555683340372149392e-01,1.989783362849643633e-01,1.154218200891805879e-01,6.701089253486045005e-02
7.346938775510203357e-01,6.112437637033624194e-01,3.492951299413161736e-01,1.971172504009425230e-01,1.152054377797277207e-01,6.733893367803042707e-02
7.959183673469387710e-01,5.946562991808829191e-01,3.428559208294634231e-01,1.951167354769451356e-01,1.148423178842116477e-01,6.754444422149856464e-02
8.571428571428570953e-01,5.782859674661652294e-01,3.362707547925752882e-01,1.929869151841488717e-01,1.143413136810698394e-01,6.763433964249156161e-02
9.183673469387755306e-01,5.621459058811011378e-01,3.295596799215700368e-01,1.907379131937304018e-01,1.137112784487398776e-01,6.761553541823608904e-02
9.795918367346938549e-01,5.462492517475826537e-01,3.227427443073663249e-01,1.883798531768665352e-01,1.129610654656591912e-01,6.749494702595880413e-02
1.040816326530612290e+00,5.306091423875014534e-01,3.158399960408827534e-01,1.859228588047338593e-01,1.120995280102654035e-01,6.727948994288635021e-02
1.102040816326530503e+00,5.152387151227497686e-01,3.088714832130375898e-01,1.833770537485091279e-01,1.111355193609960268e-01,6.697607964624545385e-02
1.163265306122448939e+00,5.001511072752193865e-01,3.018572539147496014e-01,1.807525616793690393e-01,1.100778927962885179e-01,6.659163161326275837e-02
1.224489795918367374e+00,4.853594561668023166e-01,2.948173562369370559e-01,1.780595062684902641e-01,1.089355015945804445e-01,6.613306132116493485e-02
1.285714285714285587e+00,4.708768991193904019e-01,2.877718382705186650e-01,1.753080111870495006e-01,1.077171990343093050e-01,6.560728424717865437e-02
1.346938775510204023e+00,4.567165734548755962e-01,2.807407481064127519e-01,1.725082001062235026e-01,1.064318383939126395e-01,6.502121586853060187e-02
1.408163265306122458e+00,4.428916164951498535e-01,2.737441338355379727e-01,1.696701966971888853e-01,1.050882729518279740e-01,6.438177166244740679e-02
1.469387755102040671e+00,4.294151655621050723e-01,2.668020435488128728e-01,1.668041246311224024e-01,1.036953559864928209e-01,6.369586710615579572e-02
1.530612244897959107e+00,4.163003579776332619e-01,2.599345253371558306e-01,1.639201075792007245e-01,1.022619407763447064e-01,6.297041767688241198e-02
1.591836734693877542e+00,4.035603310636261543e-01,2.531616272914853916e-01,1.610282692126006054e-01,1.007968805998211703e-01,6.221233885185392665e-02
1.653061224489795977e+00,3.912082221419759254e-01,2.465033975027200452e-01,1.581387332024986325e-01,9.930902873535968345e-02,6.142854610829698997e-02
1.714285714285714191e+00,3.792571685345743626e-01,2.399798840617784479e-01,1.552616232200716428e-01,9.780723846139782740e-02,6.062595492343831466e-02
1.775510204081632626e+00,3.677203075633135310e-01,2.336111350595788949e-01,1.524070629364962515e-01,9.630036305637307281e-02,5.981148077450455791e-02
1.836734693877551061e+00,3.566107765500851068e-01,2.274171985870400148e-01,1.495851760229491290e-01,9.479725579872300134e-02,5.899203913872237692e-02
1.897959183673469274e+00,3.459417128167812661e-01,2.214181227350803249e-01,1.468060861506070292e-01,9.330676996688505587e-02,5.817454549331846358e-02
1.959183673469387710e+00,3.357262536852937407e-01,2.156339555946182873e-01,1.440799169906466504e-01,9.183775883929681805e-02,5.736591531551946122e-02
2.020408163265305923e+00,3.259775364775147066e-01,2.100847452565725026e-01,1.414167922142446909e-01,9.039907569439584178e-02,5.657306408255206864e-02
2.081632653061224580e+00,3.167086985153358403e-01,2.047905398118613496e-01,1.388268354925777937e-01,8.899957381061948669e-02,5.580290727164291531e-02
2.142857142857142794e+00,3.079328771206492621e-01,1.997713873514034288e-01,1.363201704968227679e-01,8.764810646640550096e-02,5.506236036001874862e-02
2.204081632653061007e+00,2.996632096153466485e-01,1.950473359661172579e-01,1.339069208981562009e-01,8.635352694019128583e-02,5.435833882490615637e-02
2.265306122448979664e+00,2.919128333213202309e-01,1.906384337469212431e-01,1.315972103677548466e-01,8.512468851041432583e-02,5.369775814353185128e-02
2.326530612244897878e+00,2.846948855604618522e-01,1.865647287847339575e-01,1.294011625767953477e-01,8.397044445551223035e-02,5.308753379312251830e-02
2.387755102040816091e+00,2.780225036546633000e-01,1.828462691704739740e-01,1.273289011964544581e-01,8.289964805392242841e-02,5.253458125090479380e-02
2.448979591836734748e+00,2.719088249258166945e-01,1.795031029950596713e-01,1.253905498979088762e-01,8.192115258408254330e-02,5.204581599410536275e-02
2.510204081632652962e+00,2.663669866958138233e-01,1.765552783494097056e-01,1.235962323523352585e-01,8.104381132443004565e-02,5.162815349995091008e-02
2.571428571428571175e+00,2.614101262865465847e-01,1.740228433244425388e-01,1.219560722309103451e-01,8.027647755340246161e-02,5.128850924566807912e-02
2.632653061224489832e+00,2.570513810199070992e-01,1.719258460110765219e-01,1.204801932048108204e-01,7.962800454943733119e-02,5.103379870848355482e-02
2.693877551020408045e+00,2.533038882177871542e-01,1.702843345002304498e-01,1.191787189452133688e-01,7.910724559097212505e-02,5.087093736562402213e-02
2.755102040816326259e+00,2.501807852020787593e-01,1.691183568828225625e-01,1.180617731232947165e-01,7.872305395644438319e-02,5.080684069431612437e-02
2.816326530612244916e+00,2.476952092946737571e-01,1.684479612497715162e-01,1.171394794102315895e-01,7.848428292429168729e-02,5.084842417178654650e-02
2.877551020408163129e+00,2.458602978174640186e-01,1.682931956919959671e-01,1.164219614772005751e-01,7.839978577295153572e-02,5.100260327526198734e-02
2.938775510204081343e+00,2.446891880923416640e-01,1.686741083004140163e-01,1.159193429953784271e-01,7.847841578086137138e-02,5.127629348196907633e-02
3.000000000000000000e+00,2.441950174411985364e-01,1.696107471659444865e-01,1.156417476359419272e-01,7.872902622645883142e-02,5.167641026913449842e-02
