# pos_1,average_velocity_axis
1.389139705019461386e-03,1.300901228948561639e-01
2.470278535103650856e-03,1.420339170915530247e-01
4.392845456035934966e-03,1.380800803673928878e-01
7.811706625951745156e-03,1.174287453397246106e-01
1.389139705019461560e-02,9.103670781011530266e-02
2.470278535103651030e-02,8.963983110984968805e-02
4.392845456035934792e-02,1.058354554747277798e-01
7.811706625951746197e-02,1.376083329936597655e-01
1.389139705019461490e-01,1.637552246640054943e-01
2.470278535103651030e-01,2.103950996518416383e-01
4.392845456035935348e-01,2.705572560565936979e-01
7.811706625951745364e-01,3.404225802094864028e-01
