# time,average_velocity_axis_2_t_inf,95CLI,us,surftimeconst
2.598699999999999832e+01,8.001430888128523433e-01,1.679555583483577971e-03,8.000000000000000444e-01,0.000000000000000000e+00
2.598699999999999832e+01,3.996931022527112076e-01,1.095508979565162954e-03,4.000000000000000222e-01,0.000000000000000000e+00
2.598699999999999832e+01,2.005199035447250977e-01,7.603893701340463376e-04,2.000000000000000111e-01,0.000000000000000000e+00
2.598699999999999832e+01,1.002019901431226434e-01,5.612401146612058366e-04,1.000000000000000056e-01,0.000000000000000000e+00
2.598699999999999832e+01,4.998999915855805581e-02,3.379835972000820089e-04,5.000000000000000278e-02,0.000000000000000000e+00
2.598699999999999832e+01,6.433421576553030596e-02,3.293639218718434538e-04,5.000000000000000278e-02,2.500000000000000000e-01
2.598699999999999832e+01,4.040467143119298443e-01,1.682000049207311738e-03,4.000000000000000222e-01,2.500000000000000000e-01
2.598699999999999832e+01,2.149387713015071255e-01,8.156566096371465355e-04,2.000000000000000111e-01,2.500000000000000000e-01
2.598699999999999832e+01,1.182593848202144887e-01,5.478949960915457766e-04,1.000000000000000056e-01,2.500000000000000000e-01
2.598699999999999832e+01,7.733641789497576191e-01,8.474642656935548607e-03,8.000000000000000444e-01,2.500000000000000000e-01
2.598699999999999832e+01,6.775123482816973464e-02,3.177468127350518826e-04,5.000000000000000278e-02,5.000000000000000000e-01
2.598699999999999832e+01,3.757046913483800821e-01,4.482107505142832009e-03,4.000000000000000222e-01,5.000000000000000000e-01
2.598699999999999832e+01,7.010809784798208710e-01,2.421425517306537503e-02,8.000000000000000444e-01,5.000000000000000000e-01
2.598699999999999832e+01,2.077282778291042464e-01,1.022153912247672838e-03,2.000000000000000111e-01,5.000000000000000000e-01
2.598699999999999832e+01,1.186558391129582807e-01,5.415488790089102418e-04,1.000000000000000056e-01,5.000000000000000000e-01
2.598699999999999832e+01,1.154136766606305570e-01,5.682238736059426563e-04,1.000000000000000056e-01,7.500000000000000000e-01
2.598699999999999832e+01,3.452885428025184722e-01,7.249515113786733286e-03,4.000000000000000222e-01,7.500000000000000000e-01
2.598699999999999832e+01,5.944869679737828649e-01,3.701778485360916748e-02,8.000000000000000444e-01,7.500000000000000000e-01
2.598699999999999832e+01,1.973083040027764079e-01,1.466394046101171262e-03,2.000000000000000111e-01,7.500000000000000000e-01
2.598699999999999832e+01,6.799172226102954963e-02,3.115120851840358319e-04,5.000000000000000278e-02,7.500000000000000000e-01
2.598699999999999832e+01,6.605519664698715487e-02,3.217405467338363650e-04,5.000000000000000278e-02,1.000000000000000000e+00
2.598699999999999832e+01,3.144826137459916793e-01,8.709486880783998478e-03,4.000000000000000222e-01,1.000000000000000000e+00
2.598699999999999832e+01,1.107233271816613907e-01,6.189083136040939102e-04,1.000000000000000056e-01,1.000000000000000000e+00
