# pos_1,concentration
1.389139705019461386e-03,1.291342302859943558e+01
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,2.041791457982193858e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,0.000000000000000000e+00
2.470278535103651030e-02,1.089262712796926769e+00
4.392845456035934792e-02,1.225074874789316315e+00
7.811706625951746197e-02,1.837093942790467338e+00
1.389139705019461490e-01,1.485043648288934870e+00
2.470278535103651030e-01,1.198188984076619334e+00
4.392845456035935348e-01,1.061731558150741161e+00
7.811706625951745364e-01,7.233557399737464699e-01
