# us,max_surftimeconst,max_average_velocity_axis
8.000000000000000444e-01,0.000000000000000000e+00,8.224477118098643125e-01
4.000000000000000222e-01,0.000000000000000000e+00,4.078834940364424178e-01
2.000000000000000111e-01,1.224489795918367319e-01,2.077833966981055547e-01
1.000000000000000056e-01,6.122448979591836871e-01,1.154826115341327231e-01
5.000000000000000278e-02,8.571428571428570953e-01,6.763433964249156161e-02
