# pos_1,average_velocity_axis
1.389139705019461386e-03,5.832193942142489818e-02
2.470278535103650856e-03,5.666355411018422772e-02
4.392845456035934966e-03,5.320107329282184466e-02
7.811706625951745156e-03,4.493386736784160673e-02
1.389139705019461560e-02,4.329184366435315928e-02
2.470278535103651030e-02,4.683352047793206546e-02
4.392845456035934792e-02,6.151381091085152131e-02
7.811706625951746197e-02,7.409381817567681217e-02
1.389139705019461490e-01,8.544397479761663139e-02
2.470278535103651030e-01,9.757997635162944661e-02
4.392845456035935348e-01,1.072163518238475194e-01
7.811706625951745364e-01,1.084105107273274499e-01
