# pos_1,average_velocity_axis
1.389139705019461386e-03,1.779346592219987477e-01
2.470278535103650856e-03,1.811407501589339941e-01
4.392845456035934966e-03,1.774929345871227859e-01
7.811706625951745156e-03,1.640540096581623308e-01
1.389139705019461560e-02,1.748462383516815877e-01
2.470278535103651030e-02,1.960516871761101843e-01
4.392845456035934792e-02,2.193538906119338605e-01
7.811706625951746197e-02,2.277776766710876977e-01
1.389139705019461490e-01,2.241555203896402060e-01
2.470278535103651030e-01,2.230027009547628503e-01
4.392845456035935348e-01,2.176411053315212840e-01
7.811706625951745364e-01,2.101303855677024157e-01
