# pos_1,average_velocity_axis
1.389139705019461386e-03,1.000849998096906973e-01
2.470278535103650856e-03,1.003082024042204062e-01
4.392845456035934966e-03,9.912352012968529691e-02
7.811706625951745156e-03,1.011472064622074840e-01
1.389139705019461560e-02,9.811302428132399889e-02
2.470278535103651030e-02,9.803437796470955423e-02
4.392845456035934792e-02,9.833330723429231646e-02
7.811706625951746197e-02,9.832962067555231500e-02
1.389139705019461490e-01,9.951379070935643945e-02
2.470278535103651030e-01,9.868162777335870439e-02
4.392845456035935348e-01,1.002480452763720720e-01
7.811706625951745364e-01,1.011656046097130918e-01
