# pos_1,concentration
1.389139705019461386e-03,6.456711514299717791e+00
2.470278535103650856e-03,7.261751418646175793e+00
4.392845456035934966e-03,4.083582915964387716e+00
7.811706625951745156e-03,4.592734856976168345e+00
1.389139705019461560e-02,6.456711514299716015e+00
2.470278535103651030e-02,6.898663847713869757e+00
4.392845456035934792e-02,3.879403770166168108e+00
7.811706625951746197e-02,3.214914399883317397e+00
1.389139705019461490e-01,2.259849030004900783e+00
2.470278535103651030e-01,1.198188984076619334e+00
4.392845456035935348e-01,6.329553519744801626e-01
7.811706625951745364e-01,1.722275571366063129e-01
