# pos_1,average_velocity_axis
1.389139705019461386e-03,4.987844424354450495e-02
2.470278535103650856e-03,5.007026126305159919e-02
4.392845456035934966e-03,5.002223825395282070e-02
7.811706625951745156e-03,4.983707690447330280e-02
1.389139705019461560e-02,5.030783771560056600e-02
2.470278535103651030e-02,5.056827939370804603e-02
4.392845456035934792e-02,5.001126943474759612e-02
7.811706625951746197e-02,5.104933714283275970e-02
1.389139705019461490e-01,5.059095179988058050e-02
2.470278535103651030e-01,5.187240229133274066e-02
4.392845456035935348e-01,5.303060142922778886e-02
7.811706625951745364e-01,5.364244976310252044e-02
