# pos_1,concentration
1.389139705019461386e-03,8.035557169140987721e-01
2.470278535103650856e-03,9.037451734275103732e-01
4.392845456035934966e-03,3.811599438447060284e-01
7.811706625951745156e-03,1.000262610345184822e+00
1.389139705019461560e-02,1.366044718753967491e+00
2.470278535103651030e-02,8.359642854204473172e-01
4.392845456035934792e-02,8.258465449968629413e-01
7.811706625951746197e-02,7.573416906899256285e-01
1.389139705019461490e-01,8.557868385135148914e-01
2.470278535103651030e-01,1.021232045973086811e+00
4.392845456035935348e-01,1.236228751202996579e+00
7.811706625951745364e-01,9.252429145692959711e-01
