# pos_1,average_velocity_axis
1.389139705019461386e-03,2.499517627688027308e-02
2.470278535103650856e-03,2.329498933709787944e-02
4.392845456035934966e-03,2.132345502240989496e-02
7.811706625951745156e-03,1.983011227576024146e-02
1.389139705019461560e-02,2.023509951971158918e-02
2.470278535103651030e-02,2.527052558286453296e-02
4.392845456035934792e-02,3.203271779017693305e-02
7.811706625951746197e-02,3.760609882165892592e-02
1.389139705019461490e-01,4.306721543305254418e-02
2.470278535103651030e-01,5.031544231511211190e-02
4.392845456035935348e-01,5.881001577679269982e-02
7.811706625951745364e-01,6.343140257363649726e-02
