# pos_1,average_velocity_axis
1.389139705019461386e-03,1.455222271062281969e-01
2.470278535103650856e-03,1.270461721095340335e-01
4.392845456035934966e-03,1.134572097538685542e-01
7.811706625951745156e-03,8.476689177854354607e-02
1.389139705019461560e-02,7.450880119567040993e-02
2.470278535103651030e-02,8.764597753318931206e-02
4.392845456035934792e-02,1.108197776358406106e-01
7.811706625951746197e-02,1.393122970060455823e-01
1.389139705019461490e-01,1.688296155842939072e-01
2.470278535103651030e-01,1.918731735614334355e-01
4.392845456035935348e-01,2.039157504465522741e-01
7.811706625951745364e-01,2.069231456687823656e-01
