# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,2.000408968321074343e-01,0.000000000000000000e+00
2.470278535103650856e-03,2.000450947207514374e-01,0.000000000000000000e+00
4.392845456035934966e-03,2.000545821493471543e-01,0.000000000000000000e+00
7.811706625951745156e-03,1.999427254809427734e-01,0.000000000000000000e+00
1.389139705019461560e-02,1.993276127542178977e-01,0.000000000000000000e+00
2.470278535103651030e-02,1.989588129396327454e-01,0.000000000000000000e+00
4.392845456035934792e-02,1.988551733040991309e-01,0.000000000000000000e+00
7.811706625951746197e-02,2.120980241317977077e-01,2.500000000000000000e-01
1.389139705019461490e-01,2.176168704000353282e-01,2.500000000000000000e-01
2.470278535103651030e-01,2.171794207258254394e-01,2.500000000000000000e-01
4.392845456035935348e-01,2.152780410962725766e-01,2.500000000000000000e-01
7.811706625951745364e-01,2.105267000224586293e-01,5.000000000000000000e-01
