# pos_1,average_velocity_axis
1.389139705019461386e-03,3.159097059962465148e-02
2.470278535103650856e-03,3.862686474179627405e-02
4.392845456035934966e-03,3.903932998450551639e-02
7.811706625951745156e-03,3.373110220988007751e-02
1.389139705019461560e-02,3.091374661719452355e-02
2.470278535103651030e-02,3.484890690404231911e-02
4.392845456035934792e-02,4.462171316977722041e-02
7.811706625951746197e-02,5.220727466457610044e-02
1.389139705019461490e-01,5.777172358383175083e-02
2.470278535103651030e-01,6.289522463920936557e-02
4.392845456035935348e-01,7.182396538258307983e-02
7.811706625951745364e-01,8.514117426428187418e-02
