# us,max_surftimeconst,max_average_velocity_axis
8.000000000000000444e-01,0.000000000000000000e+00,8.304906796641642330e-01
4.000000000000000222e-01,0.000000000000000000e+00,4.147759629577838503e-01
2.000000000000000111e-01,0.000000000000000000e+00,2.081375668536979973e-01
1.000000000000000056e-01,3.061224489795918435e-01,1.090671494601222896e-01
5.000000000000000278e-02,7.959183673469387710e-01,6.431138341531955627e-02
