# pos_1,average_velocity_axis
1.389139705019461386e-03,1.688172778617450520e-01
2.470278535103650856e-03,1.028479873322771243e-01
4.392845456035934966e-03,1.043335092348276205e-01
7.811706625951745156e-03,9.851828481896374168e-02
1.389139705019461560e-02,8.275241290750218193e-02
2.470278535103651030e-02,8.098509537372236555e-02
4.392845456035934792e-02,1.001036917872225041e-01
7.811706625951746197e-02,1.148065972068278984e-01
1.389139705019461490e-01,1.295750797926396025e-01
2.470278535103651030e-01,1.703947009168289284e-01
4.392845456035935348e-01,2.209070749649562626e-01
7.811706625951745364e-01,3.016411387480036344e-01
