# pos_1,concentration
1.389139705019461386e-03,4.019035318566293036e-01
2.470278535103650856e-03,4.520139294058770907e-01
4.392845456035934966e-03,1.270930560332989012e-01
7.811706625951745156e-03,6.432270979703095248e-01
1.389139705019461560e-02,7.636167105275954992e-01
2.470278535103651030e-02,6.102188046979342140e-01
4.392845456035934792e-02,5.210815297365254395e-01
7.811706625951746197e-02,4.645529040896679285e-01
1.389139705019461490e-01,5.546268739621482702e-01
2.470278535103651030e-01,8.158851425776082467e-01
4.392845456035935348e-01,1.184507282230345959e+00
7.811706625951745364e-01,1.144229537611628267e+00
