# pos_1,average_velocity_axis
1.389139705019461386e-03,4.826175965362306669e-02
2.470278535103650856e-03,4.569836979152200329e-02
4.392845456035934966e-03,3.955728042409877715e-02
7.811706625951745156e-03,3.453703142621676603e-02
1.389139705019461560e-02,3.488207183698040920e-02
2.470278535103651030e-02,4.090855558786611612e-02
4.392845456035934792e-02,5.255793566626298929e-02
7.811706625951746197e-02,6.344704234834690204e-02
1.389139705019461490e-01,7.008120208817494867e-02
2.470278535103651030e-01,7.220809741487428657e-02
4.392845456035935348e-01,6.966370339293259661e-02
7.811706625951745364e-01,6.369862737743492431e-02
