# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,4.987844424354450495e-02,0.000000000000000000e+00
2.470278535103650856e-03,5.007026126305159919e-02,0.000000000000000000e+00
4.392845456035934966e-03,5.002223825395282070e-02,0.000000000000000000e+00
7.811706625951745156e-03,4.983707690447330280e-02,0.000000000000000000e+00
1.389139705019461560e-02,5.030783771560056600e-02,0.000000000000000000e+00
2.470278535103651030e-02,5.221669264372886393e-02,2.500000000000000000e-01
4.392845456035934792e-02,5.985309988204184917e-02,2.500000000000000000e-01
7.811706625951746197e-02,6.764693457231860108e-02,2.500000000000000000e-01
1.389139705019461490e-01,7.039694479509360503e-02,2.500000000000000000e-01
2.470278535103651030e-01,7.220809741487428657e-02,5.000000000000000000e-01
4.392845456035935348e-01,7.057605046566310658e-02,7.500000000000000000e-01
7.811706625951745364e-01,6.650301146150058851e-02,1.000000000000000000e+00
