# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,3.630875709323087897e+00
4.392845456035934966e-03,2.041791457982193858e+00
7.811706625951745156e-03,3.444551142732126259e+00
1.389139705019461560e-02,2.582684605719886672e+00
2.470278535103651030e-02,2.178525425593853537e+00
4.392845456035934792e-02,1.429254020587535701e+00
7.811706625951746197e-02,1.492638828517254712e+00
1.389139705019461490e-01,1.033073842287954625e+00
2.470278535103651030e-01,1.307115255356311900e+00
4.392845456035935348e-01,1.143403216470028738e+00
7.811706625951745364e-01,6.429828799766634795e-01
