# surftimeconst,average_velocity_axis_0_t_inf__params_4o0_1o0,average_velocity_axis_0_t_inf__params_8o0_1o0,average_velocity_axis_0_t_inf__params_1o0_1o0
0.000000000000000000e+00,5.821525106402276606e-01,1.343109978019738415e+00,1.260806375942472302e-01
1.632653061224489666e-01,6.226596064059286562e-01,1.388067787739162062e+00,1.457963175238264630e-01
3.265306122448979331e-01,6.596328310415494611e-01,1.427006252465371050e+00,1.641193209451320134e-01
4.897959183673469274e-01,6.931866984258843178e-01,1.460158443168002806e+00,1.810905408241479109e-01
6.530612244897958663e-01,7.234357224377265805e-01,1.487757430816694093e+00,1.967508701268582405e-01
8.163265306122448051e-01,7.504944169558707134e-01,1.510036286381082782e+00,2.111412018192471707e-01
9.795918367346938549e-01,7.744772958591104040e-01,1.527228080830804968e+00,2.243024288672987310e-01
1.142857142857142794e+00,7.954988730262394503e-01,1.539565885135498302e+00,2.362754442369970065e-01
1.306122448979591733e+00,8.136736623360519838e-01,1.547282770264799545e+00,2.471011408943260268e-01
1.469387755102040671e+00,8.291161776673416917e-01,1.550611807188345681e+00,2.568204118052699880e-01
1.632653061224489610e+00,8.419409328989027053e-01,1.549786066875774360e+00,2.654741499358128087e-01
1.795918367346938549e+00,8.522624419095287118e-01,1.545038620296721898e+00,2.731032482519388238e-01
1.959183673469387710e+00,8.601952185780137317e-01,1.536602538420826169e+00,2.797485997196318963e-01
2.122448979591836427e+00,8.658537767831517851e-01,1.524710892217723490e+00,2.854510973048762223e-01
2.285714285714285587e+00,8.693526304037365593e-01,1.509596752657051288e+00,2.902516339736557760e-01
2.448979591836734304e+00,8.708062933185622967e-01,1.491493190708446770e+00,2.941911026919546979e-01
2.612244897959183465e+00,8.703292794064223514e-01,1.470633277341546474e+00,2.973103964257571286e-01
2.775510204081632626e+00,8.680361025461111879e-01,1.447250083525987829e+00,2.996504081410471532e-01
2.938775510204081343e+00,8.640412766164223823e-01,1.421576680231407375e+00,3.012520308038087458e-01
3.102040816326530503e+00,8.584593154961500661e-01,1.393846138427443426e+00,3.021561573800261580e-01
3.265306122448979220e+00,8.514047330640881484e-01,1.364291529083731636e+00,3.024036808356831973e-01
3.428571428571428381e+00,8.429920431990300944e-01,1.333145923169909874e+00,3.020354941367643375e-01
3.591836734693877098e+00,8.333357597797703686e-01,1.300642391655615349e+00,3.010924902492532196e-01
3.755102040816326259e+00,8.225503966851026583e-01,1.267014005510484598e+00,2.996155621391343171e-01
3.918367346938775420e+00,8.107504677938207616e-01,1.232493835704154606e+00,2.976456027723914377e-01
4.081632653061224580e+00,7.980504869847188099e-01,1.197314953206262800e+00,2.952235051150088885e-01
4.244897959183672853e+00,7.845649681365909345e-01,1.161710428986447052e+00,2.923901621329705880e-01
4.408163265306122014e+00,7.704084251282301565e-01,1.125913334014342126e+00,2.891864667922606769e-01
4.571428571428571175e+00,7.556953718384311625e-01,1.090156739259587226e+00,2.856533120588632402e-01
4.734693877551020336e+00,7.405403221459877505e-01,1.054673715691818003e+00,2.818315908987621965e-01
4.897959183673468608e+00,7.250577899296937190e-01,1.019697334280673440e+00,2.777621962779419640e-01
5.061224489795917769e+00,7.093622890683429771e-01,9.854606659957885206e-01,2.734860211623864057e-01
5.224489795918366930e+00,6.935683334407293232e-01,9.521967818068017841e-01,2.690439585180797177e-01
5.387755102040816091e+00,6.777904369256467776e-01,9.201387526833486596e-01,2.644769013110057632e-01
5.551020408163265252e+00,6.621431134018893605e-01,8.895196495950676852e-01,2.598257425071489046e-01
5.714285714285713524e+00,6.467408767482506482e-01,8.605725435115956223e-01,2.551313750724931162e-01
5.877551020408162685e+00,6.316982408435253271e-01,8.335305054025687888e-01,2.504346919730223719e-01
6.040816326530611846e+00,6.171297195665066404e-01,8.086266062376255004e-01,2.457765861747208680e-01
6.204081632653061007e+00,6.031498267959882753e-01,7.860939169864011866e-01,2.411979506435725784e-01
6.367346938775509280e+00,5.898730764107649183e-01,7.661655086185348296e-01,2.367396783455618103e-01
6.530612244897958441e+00,5.774139822896298124e-01,7.490744521036623027e-01,2.324426622466725378e-01
6.693877551020407601e+00,5.658870583113773112e-01,7.350538184114205897e-01,2.283477953128889570e-01
6.857142857142856762e+00,5.554068183548004356e-01,7.243366785114471185e-01,2.244959705101947645e-01
7.020408163265305923e+00,5.460877762986944273e-01,7.171561033733784285e-01,2.209280808045743782e-01
7.183673469387754196e+00,5.380444460218523073e-01,7.137451639668528358e-01,2.176850191620116615e-01
7.346938775510203357e+00,5.313913414030682070e-01,7.143369312615068800e-01,2.148076785484910323e-01
7.510204081632652517e+00,5.262429763211362577e-01,7.191644762269771007e-01,2.123369519299961317e-01
7.673469387755101678e+00,5.227138646548497025e-01,7.284608698328991494e-01,2.103137322725113778e-01
7.836734693877550839e+00,5.209185202830033390e-01,7.424591830489140065e-01,2.087789125420208558e-01
8.000000000000000000e+00,5.209714570843910764e-01,7.613924868446551031e-01,2.077733857045085397e-01
