# log(rho), p(log(rho))
-4.605170185988090914e+00,4.676635921635705857e-08
-4.582121286158320927e+00,5.486620068381841413e-08
-4.559072386328550053e+00,6.268146065067754630e-08
-4.536023486498780066e+00,6.788413186142513518e-08
-4.512974586669010080e+00,7.470965968262489026e-08
-4.489925686839240093e+00,8.473629747682882387e-08
-4.466876787009469219e+00,9.706526395477580657e-08
-4.443827887179699232e+00,1.046162878871590394e-07
-4.420778987349929245e+00,1.159058714590027346e-07
-4.397730087520159259e+00,1.282138559687052225e-07
-4.374681187690388384e+00,1.415808319726506049e-07
-4.351632287860618398e+00,1.640497693581026593e-07
-4.328583388030848411e+00,1.802167647499152424e-07
-4.305534488201077536e+00,1.954745311473492041e-07
-4.282485588371307550e+00,2.144075753774920286e-07
-4.259436688541537563e+00,2.400389599898085625e-07
-4.236387788711767577e+00,2.654250213473679531e-07
-4.213338888881996702e+00,2.928061782870939745e-07
-4.190289989052226716e+00,3.257003765812155314e-07
-4.167241089222456729e+00,3.650087763747674157e-07
-4.144192189392686743e+00,3.969414087042019950e-07
-4.121143289562915868e+00,4.392510868421500021e-07
-4.098094389733145881e+00,4.893003556635169442e-07
-4.075045489903375895e+00,5.395345537804887286e-07
-4.051996590073605020e+00,6.137167330561888569e-07
-4.028947690243835034e+00,6.840685520249658713e-07
-4.005898790414065047e+00,7.774141851358168214e-07
-3.982849890584295061e+00,8.676879286256906492e-07
-3.959800990754524630e+00,9.600937086644932911e-07
-3.936752090924754199e+00,1.039738331202898059e-06
-3.913703191094984213e+00,1.169669944240636369e-06
-3.890654291265213782e+00,1.280023361885060663e-06
-3.867605391435443796e+00,1.374394964356271026e-06
-3.844556491605673365e+00,1.529427026042202056e-06
-3.821507591775903379e+00,1.688662398971774852e-06
-3.798458691946132948e+00,1.820139379973655441e-06
-3.775409792116362517e+00,1.973346366881200216e-06
-3.752360892286592531e+00,2.138458308394696074e-06
-3.729311992456822544e+00,2.380198942591700231e-06
-3.706263092627052114e+00,2.657730159403386111e-06
-3.683214192797281683e+00,2.857782683361906635e-06
-3.660165292967511697e+00,3.072115459187177819e-06
-3.637116393137741266e+00,3.402613752463934085e-06
-3.614067493307971279e+00,3.851611220697884145e-06
-3.591018593478200849e+00,4.246793521692729213e-06
-3.567969693648430862e+00,4.572889396876888265e-06
-3.544920793818660432e+00,5.012276018435055069e-06
-3.521871893988890001e+00,5.392340476407532852e-06
-3.498822994159120015e+00,5.725400307138243200e-06
-3.475774094329350028e+00,6.270458325465225071e-06
-3.452725194499579597e+00,6.862903929037846421e-06
-3.429676294669809167e+00,7.564831574688892269e-06
-3.406627394840039180e+00,8.205667386541999565e-06
-3.383578495010269194e+00,8.922214716417894200e-06
-3.360529595180498763e+00,9.506226290557100351e-06
