# log(rho), p(log(rho))
-2.000644505224055347e+00,2.303305770821869128e-04
-1.977595605394285361e+00,2.507352417983526932e-04
-1.954546705564514930e+00,2.563956101154875105e-04
-1.931497805734744500e+00,2.632404712720623702e-04
-1.908448905904974513e+00,2.721842502825704067e-04
-1.885400006075204082e+00,2.859687975238813505e-04
-1.862351106245434096e+00,2.956917494042571814e-04
-1.839302206415663665e+00,3.111269888748100561e-04
-1.816253306585893679e+00,3.234029957631497022e-04
-1.793204406756123248e+00,3.359806265801311420e-04
-1.770155506926353262e+00,3.520160337870874116e-04
-1.747106607096582831e+00,3.729759951466679233e-04
-1.724057707266812844e+00,3.995164673531426103e-04
-1.701008807437042414e+00,4.180653788832667367e-04
-1.677959907607272427e+00,4.227956470909070689e-04
-1.654911007777501997e+00,4.350526193052855562e-04
-1.631862107947731566e+00,4.469860720724218891e-04
-1.608813208117961580e+00,4.653985574542931266e-04
-1.585764308288191149e+00,4.827463219634302435e-04
-1.562715408458421162e+00,5.067350192081995037e-04
-1.539666508628650732e+00,5.296751277399372937e-04
-1.516617608798880745e+00,5.514293280958475641e-04
-1.493568708969110315e+00,5.807005739131554638e-04
-1.470519809139340328e+00,6.141357332203232437e-04
-1.447470909309569898e+00,6.578623723965988527e-04
-1.424422009479799911e+00,6.773773791483012454e-04
-1.401373109650029480e+00,7.236583070857033990e-04
-1.378324209820259494e+00,7.653953896895537238e-04
-1.355275309990489063e+00,8.121002152003754847e-04
-1.332226410160718633e+00,8.456494767268996765e-04
-1.309177510330948646e+00,8.737511696665869630e-04
-1.286128610501178215e+00,9.152687441566877743e-04
-1.263079710671408229e+00,9.506816834197511163e-04
-1.240030810841637798e+00,9.863683201026202454e-04
-1.216981911011867812e+00,1.028602632409508213e-03
-1.193933011182097381e+00,1.081293441756884860e-03
-1.170884111352327395e+00,1.145453995307641696e-03
-1.147835211522556964e+00,1.186480051017509401e-03
-1.124786311692786978e+00,1.244621914609152311e-03
-1.101737411863016547e+00,1.308287333422600285e-03
-1.078688512033246560e+00,1.388841289310181531e-03
-1.055639612203476130e+00,1.510528336875021499e-03
-1.032590712373705699e+00,1.552975912747415034e-03
-1.009541812543935713e+00,1.608248330381804219e-03
-9.864929127141652820e-01,1.638331197440178388e-03
-9.634440128843952955e-01,1.729967800573873043e-03
-9.403951130546248649e-01,1.791992439191635164e-03
-9.173462132248548784e-01,1.852606289902343365e-03
-8.942973133950844478e-01,1.888605955379603569e-03
-8.712484135653144612e-01,1.935057265323957693e-03
-8.481995137355440306e-01,2.028715281487823447e-03
-8.251506139057740441e-01,2.124609895777742306e-03
-8.021017140760036135e-01,2.201430287950640642e-03
-7.790528142462336270e-01,2.335599160623470956e-03
-7.560039144164631963e-01,2.405610617234716329e-03
-7.329550145866927657e-01,2.533869388501803002e-03
-7.099061147569227792e-01,2.636718574269618972e-03
-6.868572149271523486e-01,2.736684501308065884e-03
-6.638083150973823621e-01,2.856135156113531921e-03
-6.407594152676119315e-01,2.940665917770872179e-03
-6.177105154378419449e-01,3.059295489515037082e-03
-5.946616156080715143e-01,3.277964159004498335e-03
-5.716127157783015278e-01,3.361823736366337158e-03
-5.485638159485315413e-01,3.470032265373474561e-03
-5.255149161187606666e-01,3.624882892442476533e-03
-5.024660162889906800e-01,3.749066352698366723e-03
-4.794171164592206935e-01,4.000355968673539528e-03
-4.563682166294498188e-01,4.259298550804325664e-03
-4.333193167996798323e-01,4.520388505149831003e-03
-4.102704169699098458e-01,4.405764213090421558e-03
-3.872215171401398592e-01,4.542247962542604774e-03
-3.641726173103689845e-01,4.707059640692426612e-03
-3.411237174805989980e-01,5.040588171069438489e-03
-3.180748176508290115e-01,4.964830932544058405e-03
-2.950259178210590250e-01,5.013301703984305267e-03
-2.719770179912881503e-01,5.152823475112001776e-03
-2.489281181615181637e-01,5.326087323670561022e-03
-2.258792183317481772e-01,5.603767054415122531e-03
-2.028303185019781907e-01,5.658215335033904558e-03
-1.797814186722073160e-01,5.792892389988150287e-03
-1.567325188424373295e-01,5.920436607908495519e-03
-1.336836190126673429e-01,6.110062970354527938e-03
-1.106347191828964682e-01,6.272889262110347558e-03
-8.758581935312648170e-02,6.462738402006722171e-03
-6.453691952335649518e-02,6.660055420835249256e-03
-4.148801969358650865e-02,6.960942900458366202e-03
-1.843911986381563395e-02,7.256944181886470710e-03
4.609779965954352576e-03,7.491390191651710675e-03
2.765867979572433910e-02,8.188938624623259138e-03
5.070757962549432563e-02,8.294357169177408659e-03
7.375647945526520033e-02,8.616647974985852318e-03
9.680537928503518685e-02,8.652273624968596227e-03
1.198542791148051734e-01,8.866699467543480082e-03
1.429031789445760481e-01,9.041451451467940117e-03
1.659520787743460346e-01,9.429815803528633633e-03
1.890009786041160211e-01,9.772554689817273751e-03
2.120498784338860077e-01,1.000270988858036753e-02
2.350987782636568824e-01,1.031204852251570332e-02
2.581476780934268689e-01,1.058279807328193003e-02
2.811965779231968554e-01,1.088056649777770918e-02
3.042454777529668419e-01,1.123961532875379296e-02
3.272943775827377166e-01,1.158636818269159069e-02
3.503432774125077032e-01,1.219013486459663911e-02
3.733921772422776897e-01,1.269217294805533719e-02
3.964410770720476762e-01,1.300216034739049877e-02
4.194899769018185509e-01,1.326711270600171820e-02
4.425388767315885374e-01,1.378420223484881461e-02
4.655877765613585240e-01,1.402387573863693448e-02
4.886366763911293987e-01,1.450385782765727279e-02
5.116855762208993852e-01,1.492383570830104270e-02
5.347344760506693717e-01,1.526362329133925180e-02
5.577833758804393582e-01,1.564133505411937144e-02
5.808322757102102329e-01,1.618604753314438482e-02
6.038811755399802195e-01,1.685160977668006752e-02
6.269300753697502060e-01,1.774379297803943892e-02
6.499789751995201925e-01,1.836646564076614002e-02
6.730278750292910672e-01,1.904832398530801815e-02
6.960767748590610537e-01,2.006404100440004057e-02
7.191256746888310403e-01,2.212598735118100068e-02
7.421745745186019150e-01,2.211856944990785862e-02
7.652234743483719015e-01,2.184891176274900496e-02
7.882723741781418880e-01,2.215354706406670940e-02
8.113212740079118745e-01,2.217151350788085576e-02
8.343701738376827493e-01,2.303558416439353829e-02
8.574190736674527358e-01,2.343850561028036975e-02
8.804679734972227223e-01,2.423813095664721987e-02
9.035168733269927088e-01,2.423086192536754585e-02
9.265657731567635835e-01,2.487234562657957698e-02
9.496146729865335701e-01,2.557180719989001622e-02
9.726635728163035566e-01,2.624176882257648474e-02
9.957124726460735431e-01,2.704688001320420046e-02
1.018761372475844418e+00,2.679728035470379729e-02
1.041810272305614404e+00,2.732944781171021617e-02
1.064859172135384391e+00,2.774308477085501295e-02
1.087908071965155266e+00,2.934777625665768372e-02
1.110956971794925252e+00,2.897565954583722347e-02
1.134005871624695239e+00,2.955294588517675194e-02
1.157054771454465225e+00,2.966198274855388547e-02
1.180103671284236100e+00,3.005405913024953440e-02
1.203152571114006086e+00,3.054858559580842653e-02
1.226201470943776073e+00,3.123905019808300224e-02
1.249250370773546059e+00,3.187069731197885586e-02
1.272299270603316934e+00,3.252544179262815277e-02
1.295348170433086921e+00,3.334743229078884763e-02
1.318397070262856907e+00,3.449061659457667434e-02
1.341445970092627782e+00,3.632771137638434594e-02
1.364494869922397768e+00,3.682002655960232157e-02
1.387543769752167755e+00,3.789313080595691635e-02
1.410592669581937741e+00,3.913664671934199285e-02
1.433641569411708616e+00,4.016147617272815967e-02
1.456690469241478603e+00,4.082227419724199224e-02
1.479739369071248589e+00,4.208626677644259489e-02
1.502788268901018576e+00,4.372068220684890982e-02
1.525837168730789450e+00,4.607382136310859966e-02
