# time, log_rho_var
8.000000000000000167e-03,1.573621303911156856e-04
1.600000000000000033e-02,5.965783936506399232e-04
3.200000000000000067e-02,2.395642103701545525e-03
6.400000000000000133e-02,9.367812902075440054e-03
1.280000000000000027e-01,3.685505350755870213e-02
2.560000000000000053e-01,1.318944474626745078e-01
5.120000000000000107e-01,3.615482065368415543e-01
1.024000000000000021e+00,9.281480574009978168e-01
2.048000000000000043e+00,2.135414419914365869e+00
4.096000000000000085e+00,4.131519468094830394e+00
8.192000000000000171e+00,6.498004484179098483e+00
