# time, lyapunov_exponent
3.000000000000000062e-03,1.041978494413470901e+00
6.000000000000000125e-03,-1.109583117245864919e-01
1.200000000000000025e-02,-4.366471983976299986e-02
2.400000000000000050e-02,1.234526268633061447e-01
4.800000000000000100e-02,4.196762224015285758e-01
9.600000000000000200e-02,9.521622755373647662e-01
1.920000000000000040e-01,1.561292760284518799e+00
3.840000000000000080e-01,1.801095894463209390e+00
7.680000000000000160e-01,1.953826181845540466e+00
1.536000000000000032e+00,2.023181574949834083e+00
3.072000000000000064e+00,2.059540620499631824e+00
6.144000000000000128e+00,1.897380778739207408e+00
9.215999999999999304e+00,1.622657402716820130e+00
