# time, c_var
3.000000000000000062e-03,2.460178798426000258e-11
6.000000000000000125e-03,8.519970249072254877e-09
1.200000000000000025e-02,5.805980514062115492e-09
2.400000000000000050e-02,4.498748062903067331e-09
4.800000000000000100e-02,3.326130239068762346e-09
9.600000000000000200e-02,2.295140792770328374e-09
1.920000000000000040e-01,1.413414128413507678e-09
3.840000000000000080e-01,7.438402036159969378e-10
7.680000000000000160e-01,2.863982701359777498e-10
1.536000000000000032e+00,5.713241941342978280e-11
3.072000000000000064e+00,3.107359544482941939e-12
6.144000000000000128e+00,nan
9.215999999999999304e+00,nan
