# vs,omegamax,max_surftimeconst,max_average_velocity_axis
1.000000000000000000e+00,1.250000000000000000e-01,6.000000000000000000e+00,5.018610698698713901e-02
1.000000000000000000e+00,2.500000000000000000e-01,6.000000000000000000e+00,7.418319498454944982e-02
1.000000000000000000e+00,5.000000000000000000e-01,4.040816326530611846e+00,1.044126333031476783e-01
1.000000000000000000e+00,1.000000000000000000e+00,3.795918367346938549e+00,1.200444758177097448e-01
