# surftimeconst,average_velocity_axis_0_t_inf__params_12o0_8o0,average_velocity_axis_0_t_inf__params_12o0_2o0,average_velocity_axis_0_t_inf__params_12o0_1o0,average_velocity_axis_0_t_inf__params_16o0_1o0,average_velocity_axis_0_t_inf__params_12o0_4o0,average_velocity_axis_0_t_inf__params_16o0_4o0,average_velocity_axis_0_t_inf__params_16o0_8o0,average_velocity_axis_0_t_inf__params_16o0_2o0
4.285714285714285587e+00,7.485377252725015085e-01,8.643012831134336826e-01,8.806657347671246194e-01,1.006329824879439894e+00,8.531487394880139519e-01,9.477615670963200900e-01,9.813057513392604569e-01,1.128966350420264053e+00
4.408163265306122014e+00,7.401501613918736178e-01,8.543029421406648227e-01,8.759681167804928004e-01,9.931726574991345258e-01,8.445181988047010258e-01,9.365614691867227837e-01,9.669286236773126930e-01,1.115550110008822982e+00
4.530612244897959329e+00,7.322846717379792869e-01,8.444335961575039073e-01,8.710992388521068275e-01,9.804185569959197322e-01,8.354193681895017987e-01,9.261535526614027569e-01,9.527428552775182302e-01,1.100748034167368994e+00
4.653061224489795755e+00,7.250118194786917547e-01,8.347657304285970303e-01,8.660616291455283111e-01,9.681524017281221139e-01,8.258517997994528903e-01,9.166361413282515525e-01,9.388101699573391246e-01,1.084511627712298143e+00
4.775510204081632182e+00,7.184021677818841489e-01,8.253718302185911737e-01,8.608578158243190837e-01,9.564590700540681611e-01,8.158150457915903653e-01,9.081075589951612681e-01,9.251922915342375431e-01,1.066792395460006260e+00
4.897959183673469497e+00,7.125262798154287092e-01,8.163243807921333195e-01,8.554903270520416436e-01,9.454234403320839197e-01,8.053086583229503992e-01,9.006661294700251119e-01,9.119509438256758749e-01,1.047541842226888953e+00
5.020408163265305923e+00,7.074547187471987852e-01,8.076958674138687844e-01,8.499616909922576014e-01,9.351303909204955467e-01,7.943321895505693897e-01,8.944101765607335164e-01,8.991478506491159539e-01,1.026711472829342942e+00
5.142857142857142350e+00,7.032580477450666168e-01,7.995587753484452165e-01,8.442744358085287892e-01,9.256648001776288659e-01,7.828851916314832904e-01,8.894380240751804667e-01,8.868447358220207244e-01,1.004252792083763168e+00
5.265306122448979664e+00,7.000068299769054425e-01,7.919855898605100419e-01,8.384310896644173727e-01,9.171115464618107005e-01,7.709672167227286099e-01,8.858479958212563954e-01,8.751033231618515762e-01,9.801173048065456861e-01
5.387755102040816091e+00,6.977716286105883903e-01,7.850487962147081333e-01,8.324341807234852952e-01,9.095555081313668744e-01,7.585778169813417460e-01,8.837384156068555097e-01,8.639853364860712315e-01,9.542565158140867698e-01
5.510204081632652517e+00,6.966230068139875886e-01,7.788208796756874719e-01,8.262862371492943891e-01,9.030815635446236556e-01,7.457165445643586521e-01,8.832076072398677979e-01,8.535524996121421903e-01,9.266219299227819173e-01
5.632653061224489832e+00,6.966315277549763874e-01,7.733743255080933743e-01,8.199897871054068199e-01,8.977745910599068679e-01,7.323829516288155039e-01,8.843538945281870234e-01,8.438665363575263978e-01,8.971650519490271813e-01
5.755102040816326259e+00,6.978677546014275812e-01,7.687816189765743768e-01,8.135473587553844199e-01,8.937194690355430016e-01,7.185765903317486991e-01,8.872756012797042846e-01,8.349891705396859098e-01,8.658373867092186149e-01
5.877551020408162685e+00,7.004022505212137428e-01,7.651152453457754632e-01,8.069614802627889105e-01,8.910010758298583244e-01,7.042970128301945243e-01,8.920710513023122346e-01,8.269821259760825605e-01,8.325904390197514937e-01
6.000000000000000000e+00,7.043055786822076669e-01,7.624476898803438374e-01,8.002346797911825682e-01,8.897042898011786605e-01,6.895437712811889330e-01,8.988385684039030821e-01,8.199071264841792939e-01,7.973757136970223147e-01
