# l_diff,pdf
3.456599999999174049e-04,3.396129870652591194e+02
9.809799999999182542e-04,3.393659176772312662e+02
1.616299999999919104e-03,3.391188482892033562e+02
2.251619999999919953e-03,3.241433608454879618e+02
2.886939999999920802e-03,1.332357871306184336e+02
3.522259999999921651e-03,2.334782364369183849e+00
4.157579999999922934e-03,1.812153545459578741e+00
4.792899999999922916e-03,1.819159293702334645e+00
5.428219999999924633e-03,1.746299511977671193e+00
6.063539999999924615e-03,1.603849297708297206e+00
6.698859999999926332e-03,1.613190295365305449e+00
7.334179999999926314e-03,1.549204461414799505e+00
7.969499999999928030e-03,1.424502142693739204e+00
8.604819999999929747e-03,1.443651187890609533e+00
9.240139999999927994e-03,1.405353097496876202e+00
9.875459999999929711e-03,1.379665353940100037e+00
1.051077999999993143e-02,1.303069173152633597e+00
1.114609999999993314e-02,1.358648109211835653e+00
1.178141999999993139e-02,1.359115159094685721e+00
1.241673999999993311e-02,1.306805572215436584e+00
1.305205999999993483e-02,1.382467653237202443e+00
1.368737999999993654e-02,1.403951947848324888e+00
1.432269999999993479e-02,1.362384508274638639e+00
1.495801999999993651e-02,1.445986437304857875e+00
1.559333999999993822e-02,1.467470731915976545e+00
1.622865999999993994e-02,1.423568042928038402e+00
1.686397999999993819e-02,1.509505221372521300e+00
1.749929999999993990e-02,1.523516717858025116e+00
1.813461999999994162e-02,1.536594114577836567e+00
1.876993999999994334e-02,1.481949278284347082e+00
1.940525999999994158e-02,1.555276109891852832e+00
2.004057999999994330e-02,1.559946608720357064e+00
2.067589999999994502e-02,1.491290275941347110e+00
2.131121999999994673e-02,1.552473810594750425e+00
2.194653999999994498e-02,1.541731663289199528e+00
2.258185999999994670e-02,1.455327434961865896e+00
2.321717999999994841e-02,1.495960774769851342e+00
2.385249999999995013e-02,1.458596784141826808e+00
2.448781999999994838e-02,1.347905961906272321e+00
2.512313999999995009e-02,1.344169562843469334e+00
2.575845999999995181e-02,1.253561885570490197e+00
2.639377999999995353e-02,1.070945381375981498e+00
2.702909999999995178e-02,8.458273378420904098e-01
2.766441999999995349e-02,7.524173612720045368e-01
2.829973999999995521e-02,7.603572092804613547e-01
2.893505999999995693e-02,7.346694657236929604e-01
2.957037999999995517e-02,7.776380549459264158e-01
3.020569999999995689e-02,7.851108530715329437e-01
3.084101999999995861e-02,7.580219598662093494e-01
3.147633999999996379e-02,7.995893994398954874e-01
3.211165999999995857e-02,8.056610479169507011e-01
3.274697999999996723e-02,7.781051048287768168e-01
3.338229999999996200e-02,8.168702451053694302e-01
3.401761999999995678e-02,8.252771429966678784e-01
3.465293999999996544e-02,7.935177509628402737e-01
3.528825999999996021e-02,8.350851905365264116e-01
3.592357999999996887e-02,8.402227392478808232e-01
3.655889999999996365e-02,8.439591383106841427e-01
3.719421999999997230e-02,8.117326963940060258e-01
3.782953999999996708e-02,8.523660362020006875e-01
3.846485999999996186e-02,8.556353853819442801e-01
3.910017999999997051e-02,8.220077938167149600e-01
3.973549999999996529e-02,8.593717844447474885e-01
4.037081999999997395e-02,8.593717844447474885e-01
4.100613999999996873e-02,8.257441928795182795e-01
4.164145999999997738e-02,8.659104828046532143e-01
4.227677999999997216e-02,8.659104828046532143e-01
4.291209999999998081e-02,8.271453425280694827e-01
4.354741999999997559e-02,8.649763830389618491e-01
4.418273999999997037e-02,8.645093331561020111e-01
4.481805999999997903e-02,8.271453425280694827e-01
4.545337999999997380e-02,8.626411336247002959e-01
4.608869999999998246e-02,8.593717844447474885e-01
4.672401999999997724e-02,8.589047345618970875e-01
4.735933999999998589e-02,8.168702451053605484e-01
4.799465999999998067e-02,8.523660362020006875e-01
4.862997999999997545e-02,8.486296371391881532e-01
4.926529999999998410e-02,8.023916987369978937e-01
4.990061999999997888e-02,8.346181406536760106e-01
5.053593999999998754e-02,8.262112427623685695e-01
5.117125999999998232e-02,7.827756036572809384e-01
5.180657999999999097e-02,8.075292474483524163e-01
5.244189999999998575e-02,7.972541500256434821e-01
5.307721999999999440e-02,7.510162116234532226e-01
5.371253999999998918e-02,7.720334563517299298e-01
5.434785999999998396e-02,7.570878601005085473e-01
5.498317999999999262e-02,7.398070144350434862e-01
5.561849999999998739e-02,6.898326769700500183e-01
5.625381999999999605e-02,7.015089240413101557e-01
5.688913999999999083e-02,6.786234797816402819e-01
5.752445999999999948e-02,6.258468430195444077e-01
5.815977999999999426e-02,6.267809427852520932e-01
5.879509999999998904e-02,5.964227003999688081e-01
5.943041999999999769e-02,5.375744151608176091e-01
6.006573999999999247e-02,5.244970184410061576e-01
6.070106000000000113e-02,4.791931798045168112e-01
6.133637999999999590e-02,4.100697971426567334e-01
6.197170000000000456e-02,3.680353076861201389e-01
6.260701999999999934e-02,2.877027278358533779e-01
6.324234000000000799e-02,1.592640100519867874e-01
