# scalar_diff,pdf
1.399999999999999979e-05,2.475247524752475385e+02
4.199999999999999768e-05,6.647807637906647642e+02
6.999999999999999387e-05,8.840169731258840784e+02
9.799999999999999684e-05,5.374823196605374278e+02
1.259999999999999998e-04,7.991513437057994906e+02
1.540000000000000028e-04,6.506364922206505526e+02
1.819999999999999786e-04,4.738330975954738165e+02
2.100000000000000087e-04,8.132956152758132475e+02
2.379999999999999846e-04,6.011315417256010960e+02
2.659999999999999604e-04,6.859971711456865933e+02
2.939999999999999905e-04,6.294200848656288372e+02
3.220000000000000206e-04,7.213578500707219519e+02
3.499999999999999964e-04,6.294200848656288372e+02
3.779999999999999723e-04,4.526166902404530106e+02
4.060000000000000024e-04,7.072135785007064896e+02
4.340000000000000325e-04,5.799151343705804038e+02
4.619999999999999541e-04,6.082036775106087134e+02
4.899999999999999842e-04,5.940594059405933649e+02
5.180000000000000143e-04,6.789250353606781800e+02
5.460000000000000443e-04,4.172560113154183910e+02
5.739999999999999660e-04,5.657708628005651690e+02
6.019999999999999961e-04,6.082036775106075766e+02
6.300000000000000261e-04,5.728429985855722180e+02
6.579999999999999478e-04,5.586987270155602801e+02
6.859999999999999779e-04,5.445544554455440220e+02
7.140000000000000079e-04,5.869872701555864296e+02
7.420000000000000380e-04,4.031117397454042361e+02
7.699999999999999597e-04,5.445544554455440220e+02
7.979999999999999897e-04,5.374823196605368594e+02
8.260000000000000198e-04,5.374823196605368594e+02
8.539999999999999414e-04,4.738330975954751807e+02
8.819999999999999715e-04,5.304101838755299241e+02
9.100000000000000016e-04,5.021216407355016145e+02
9.380000000000000317e-04,3.748231966053758697e+02
9.659999999999999533e-04,4.879773691654874597e+02
9.940000000000000918e-04,5.021216407355016145e+02
1.021999999999999905e-03,4.384724186704379463e+02
1.050000000000000152e-03,5.233380480905227614e+02
1.077999999999999965e-03,4.172560113154167993e+02
1.105999999999999995e-03,3.536067892503559733e+02
1.134000000000000025e-03,4.384724186704379463e+02
1.161999999999999839e-03,4.031117397454027014e+02
1.190000000000000085e-03,4.526166902404521011e+02
1.217999999999999899e-03,3.748231966053744486e+02
1.246000000000000146e-03,4.667609618104662559e+02
1.273999999999999959e-03,3.677510608203673428e+02
1.301999999999999989e-03,2.828854314002848014e+02
1.330000000000000019e-03,4.101838755304097504e+02
1.357999999999999832e-03,3.465346534653461390e+02
1.386000000000000079e-03,4.172560113154167993e+02
1.413999999999999892e-03,3.323903818953320410e+02
1.442000000000000139e-03,4.243281471004238483e+02
1.469999999999999953e-03,3.182461103253178862e+02
1.497999999999999983e-03,2.616690240452634271e+02
1.526000000000000013e-03,3.677510608203673428e+02
1.553999999999999826e-03,3.041018387553037883e+02
1.582000000000000073e-03,3.677510608203673428e+02
1.609999999999999886e-03,2.899575671852896335e+02
1.638000000000000133e-03,3.748231966053744486e+02
1.665999999999999946e-03,2.758132956152755355e+02
1.693999999999999976e-03,1.980198019801993325e+02
1.722000000000000006e-03,3.253182461103249921e+02
1.749999999999999820e-03,2.404526166902401769e+02
1.778000000000000067e-03,3.323903818953320410e+02
1.805999999999999880e-03,2.263083451202260505e+02
1.834000000000000127e-03,3.253182461103249921e+02
1.861999999999999940e-03,2.192362093352189731e+02
1.889999999999999970e-03,1.626591230551637466e+02
1.918000000000000000e-03,2.616690240452613807e+02
1.945999999999999813e-03,1.980198019801978262e+02
1.974000000000000060e-03,2.970297029702944087e+02
2.002000000000000307e-03,1.485148514851495065e+02
2.029999999999999687e-03,1.909476661951922267e+02
2.057999999999999934e-03,2.121640735502103041e+02
2.086000000000000180e-03,1.768033946251779867e+02
2.113999999999999994e-03,2.404526166902383295e+02
2.141999999999999807e-03,1.202263083451210406e+02
2.170000000000000054e-03,2.263083451202242884e+02
2.198000000000000301e-03,1.131541725601139063e+02
2.225999999999999680e-03,1.485148514851495065e+02
2.253999999999999927e-03,1.626591230551612171e+02
2.282000000000000174e-03,1.272984441301281464e+02
2.309999999999999987e-03,1.697312588401682376e+02
2.337999999999999801e-03,9.193776520509256045e+01
2.366000000000000048e-03,1.626591230551612171e+02
2.394000000000000294e-03,7.072135785007120035e+01
2.421999999999999674e-03,1.060820367751067863e+02
2.449999999999999921e-03,1.060820367751051521e+02
2.478000000000000168e-03,8.486562942008542620e+01
2.505999999999999981e-03,9.900990099009813150e+01
2.533999999999999794e-03,6.364922206506407321e+01
2.562000000000000041e-03,9.193776520509112515e+01
2.590000000000000288e-03,4.243281471004271310e+01
2.617999999999999668e-03,5.657708628005695317e+01
2.645999999999999915e-03,4.950495049504906575e+01
2.674000000000000161e-03,4.243281471004271310e+01
2.701999999999999975e-03,3.536067892503505306e+01
2.729999999999999788e-03,2.828854314002847659e+01
2.758000000000000035e-03,2.121640735502102970e+01
2.786000000000000282e-03,2.121640735502135655e+01
