# surftimeconst,average_velocity_axis_0_t_inf__params_1o0,average_velocity_axis_0_t_inf__params_4o0,average_velocity_axis_0_t_inf__params_0o5,average_velocity_axis_0_t_inf__params_8o0
0.000000000000000000e+00,2.186149198871675525e-01,8.699834793603898886e-01,1.077017670020000845e-01,1.735715886040235745e+00
1.632653061224489666e-01,2.381612110441119756e-01,9.047905702593351807e-01,1.180390022479964746e-01,1.770827586589680092e+00
3.265306122448979331e-01,2.561133273748305017e-01,9.362079376302249178e-01,1.275522556216382719e-01,1.801371969158176656e+00
4.897959183673469274e-01,2.725203060584625026e-01,9.643418683356022036e-01,1.362669121002421380e-01,1.827499390122892864e+00
6.530612244897958663e-01,2.874311842741472667e-01,9.892986492380108077e-01,1.442083566611248313e-01,1.849360205860997031e+00
8.163265306122448051e-01,3.008949992010240271e-01,1.011184567199994389e+00,1.514019742816030967e-01,1.867104772749657915e+00
9.795918367346938549e-01,3.129607880182321833e-01,1.030105909084096050e+00,1.578731499389935955e-01,1.880883447166042721e+00
1.142857142857142794e+00,3.236775879049108573e-01,1.046168961752859339e+00,1.636472686106130447e-01,1.890846585487319542e+00
1.306122448979591733e+00,3.330944360401995041e-01,1.059480012068827914e+00,1.687497152737781891e-01,1.897144544090656693e+00
1.469387755102040671e+00,3.412603696032373568e-01,1.070145346894545213e+00,1.732058749058057179e-01,1.899927679353222487e+00
1.632653061224489610e+00,3.482244257731637038e-01,1.078271253092554893e+00,1.770411324840123757e-01,1.899346347652184130e+00
1.795918367346938549e+00,3.540356417291178337e-01,1.083964017525400392e+00,1.802808729857148518e-01,1.895550905364710603e+00
1.959183673469387710e+00,3.587430546502390349e-01,1.087329927055625145e+00,1.829504813882298908e-01,1.888691708867968888e+00
2.122448979591836427e+00,3.623957017156666516e-01,1.088475268545772590e+00,1.850753426688742376e-01,1.878919114539127744e+00
2.285714285714285587e+00,3.650426201045399166e-01,1.087506328858385718e+00,1.866808418049644980e-01,1.866383478755355485e+00
2.448979591836734304e+00,3.667328469959982296e-01,1.084529394856009077e+00,1.877923637738174167e-01,1.851235157893819538e+00
2.612244897959183465e+00,3.675154195691807679e-01,1.079650753401185659e+00,1.884352935527497941e-01,1.833624508331688441e+00
2.775510204081632626e+00,3.674393750032268757e-01,1.072976691356459122e+00,1.886350161190782915e-01,1.813701886446129397e+00
2.938775510204081343e+00,3.665537504772757860e-01,1.064613495584372682e+00,1.884169164501196259e-01,1.791617648614311609e+00
3.102040816326530503e+00,3.649075831704668427e-01,1.054667452947469997e+00,1.878063795231905142e-01,1.767522151213401838e+00
3.265306122448979220e+00,3.625499102619394454e-01,1.043244850308294280e+00,1.868287903156077012e-01,1.741565750620569286e+00
3.428571428571428381e+00,3.595297689308326605e-01,1.030451974529389636e+00,1.855095338046878484e-01,1.713898803212981381e+00
3.591836734693877098e+00,3.558961963562861097e-01,1.016395112473299056e+00,1.838739949677477004e-01,1.684671665367806215e+00
3.755102040816326259e+00,3.516982297174386929e-01,1.001180551002565977e+00,1.819475587821039742e-01,1.654034693462212324e+00
3.918367346938775420e+00,3.469849061934299206e-01,9.849145769797342798e-01,1.797556102250733867e-01,1.622138243873366470e+00
4.081632653061224580e+00,3.418052629633990813e-01,9.677034772673471785e-01,1.773235342739726272e-01,1.589132672978438299e+00
4.244897959183672853e+00,3.362083372064855746e-01,9.496535387279488871e-01,1.746767159061184960e-01,1.555168337154595015e+00
4.408163265306122014e+00,3.302431661018285225e-01,9.308710482240816209e-01,1.718405400988275988e-01,1.520395592779004490e+00
4.571428571428571175e+00,3.239587868285671579e-01,9.114622926182897045e-01,1.688403918294166806e-01,1.484964796228835038e+00
4.734693877551020336e+00,3.174042365658409359e-01,8.915335587731169076e-01,1.657016560752024859e-01,1.449026303881254751e+00
4.897959183673468608e+00,3.106285524927893116e-01,8.711911335511058896e-01,1.624497178135017872e-01,1.412730472113431279e+00
5.061224489795917769e+00,3.036807717885511848e-01,8.505413038148008642e-01,1.591099620216311628e-01,1.376227657302533380e+00
5.224489795918366930e+00,2.966099316322660662e-01,8.296903564267450459e-01,1.557077736769074405e-01,1.339668215825728925e+00
5.387755102040816091e+00,2.894650692030730776e-01,8.087445782494813162e-01,1.522685377566471987e-01,1.303202504060185118e+00
5.551020408163265252e+00,2.822952216801118963e-01,7.878102561455544439e-01,1.488176392381673485e-01,1.266980878383070941e+00
5.714285714285713524e+00,2.751494262425213666e-01,7.669936769775069774e-01,1.453804630987844404e-01,1.231153695171554485e+00
5.877551020408162685e+00,2.680767200694412211e-01,7.464011276078825752e-01,1.419823943158153301e-01,1.195871310802802512e+00
6.040816326530611846e+00,2.611261403400103598e-01,7.261388948992250070e-01,1.386488178665766235e-01,1.161284081653984224e+00
6.204081632653061007e+00,2.543467242333683487e-01,7.063132657140780424e-01,1.354051187283850100e-01,1.127542364102267491e+00
6.367346938775509280e+00,2.477875089286544763e-01,6.870305269149843408e-01,1.322766818785574006e-01,1.094796514524820852e+00
6.530612244897958441e+00,2.414975316050077536e-01,6.683969653644881159e-01,1.292888922944103181e-01,1.063196889298811731e+00
6.693877551020407601e+00,2.355258294415677467e-01,6.505188679251328043e-01,1.264671349532605626e-01,1.032893844801407113e+00
6.857142857142856762e+00,2.299214396174736885e-01,6.335025214594607323e-01,1.238367948324247125e-01,1.004037737409776421e+00
7.020408163265305923e+00,2.247333993118648676e-01,6.174542128300168908e-01,1.214232569092197345e-01,9.767789235010888582e-01
7.183673469387754196e+00,2.200107457038803505e-01,6.024802288993440502e-01,1.192519061609620401e-01,9.512677594525089653e-01
7.346938775510203357e+00,2.158025159726598696e-01,5.886868565299863132e-01,1.173481275649687072e-01,9.276546016412079432e-01
7.510204081632652517e+00,2.121577472973423806e-01,5.761803825844862281e-01,1.157373060985560920e-01,9.060898064443527744e-01
7.673469387755101678e+00,2.091254768570671718e-01,5.650670939253876757e-01,1.144448267390410501e-01,8.867237302391104414e-01
7.836734693877550839e+00,2.067547418309736429e-01,5.554532774152354246e-01,1.134960744637405483e-01,8.697067294026501472e-01
8.000000000000000000e+00,2.050945793982015264e-01,5.474452199165709132e-01,1.129164342499708873e-01,8.551891603121406504e-01
