# value,p_u_x,p_u_y,p_u_z
-8.137499999999999734e-01,4.160993513063713373e-02,1.961079935103247074e-01,1.251668983364969678e-01
-7.612499999999999822e-01,5.190208509136094023e-02,2.216226185192251563e-01,1.797679413026431750e-01
-7.087499999999999911e-01,4.972360052127695884e-02,2.633617560196677698e-01,2.425308221387758034e-01
-6.562500000000000000e-01,6.310878332476412000e-02,3.136034354278771086e-01,2.900580129633410498e-01
-6.037500000000000089e-01,9.064798239843988026e-02,4.003269910846467550e-01,3.799956055182724945e-01
-5.512499999999999067e-01,1.248087210916577622e-01,4.649803558150739646e-01,4.772169803108658459e-01
-4.987499999999999156e-01,1.326340728312450368e-01,5.265592630541165997e-01,5.268790470351999433e-01
-4.462499999999999800e-01,1.523190069241784905e-01,5.797644073098379147e-01,5.980444844282919448e-01
-3.937499999999999889e-01,1.813967370357168207e-01,6.637842848687974806e-01,6.326335709260234585e-01
-3.412499999999999423e-01,2.113204062865418065e-01,7.307560675932319727e-01,6.853760880095025598e-01
-2.887499999999999512e-01,2.416784022133988963e-01,8.163495385986445640e-01,7.995434257047716597e-01
-2.362499999999999600e-01,3.010622123133903094e-01,8.679522929325509395e-01,9.137487845759528771e-01
-1.837499999999999689e-01,3.665787325625378679e-01,9.002410655806181161e-01,9.468186451415121496e-01
-1.312499999999999778e-01,4.433048112637272276e-01,9.097769729823630414e-01,8.977390231597063286e-01
-7.874999999999998668e-02,5.217230592591511895e-01,9.175175983757801745e-01,9.118420514292525647e-01
-2.624999999999999556e-02,6.530518072670233876e-01,1.008257837399665124e+00,9.380087086732872281e-01
2.624999999999999556e-02,7.299487432001448006e-01,1.011579617695029576e+00,9.536107071665466117e-01
7.874999999999998668e-02,7.677085257348645886e-01,9.331050225479646798e-01,9.566959055030783698e-01
1.312499999999999778e-01,8.636234469613048859e-01,8.857414901403554142e-01,9.430881465896350235e-01
1.837500000000000244e-01,9.685989805951711329e-01,8.315003602358851387e-01,8.749053709692973246e-01
2.362500000000000711e-01,1.066467480289327696e+00,7.937219813553583192e-01,8.529494644104832490e-01
2.887500000000000622e-01,1.106776555118456740e+00,7.667086645871104000e-01,8.055354114581928515e-01
3.412500000000000533e-01,1.114667490798215033e+00,6.918193785902779780e-01,7.216635037699297150e-01
3.937500000000000444e-01,1.136521825785851592e+00,6.356229840995561986e-01,6.855243010037773699e-01
4.462500000000000355e-01,1.139393124931468160e+00,5.791499419794616799e-01,5.804392869994361437e-01
4.987500000000000266e-01,1.121933206864111687e+00,5.025433248640822637e-01,4.741117337194384884e-01
5.512500000000000178e-01,1.066806611641555325e+00,4.442505353053343709e-01,4.086358739293880493e-01
6.037500000000000089e-01,1.015406202713007966e+00,3.480659273323844505e-01,3.310960474881624038e-01
6.562500000000000000e-01,9.497527736778407226e-01,2.936861972402524112e-01,2.987962388099243971e-01
7.087499999999999911e-01,9.258937211913058629e-01,2.336470303290275607e-01,2.499071399711406682e-01
7.612499999999999822e-01,7.825771518775970215e-01,1.749275576971722479e-01,2.034161624147734770e-01
8.137499999999999734e-01,6.646728507238029993e-01,1.405865545474605238e-01,1.618736637619344054e-01
