# value,p_j_0_0,p_j_0_1,p_j_0_2,p_j_1_0,p_j_1_1,p_j_1_2,p_j_2_0,p_j_2_1,p_j_2_2
-1.796875000000000000e+00,1.413083240926064632e-01,1.217014040948624226e-01,1.179797970446886668e-01,9.284668482926287936e-02,8.374098279393041300e-02,1.003812751606729808e-01,9.158540531467568302e-02,1.099443638784329963e-01,8.379958078623475637e-02
-1.078125000000000000e+00,1.506977022493573293e-01,1.438861277432108010e-01,1.424610269749350677e-01,9.501874844916144425e-02,1.060997404088239310e-01,1.104700265098789297e-01,1.043337007247465420e-01,1.267331609260312075e-01,1.061902256478243767e-01
-3.593750000000000000e-01,1.420504121011105791e-01,1.593655224735735787e-01,1.611068740614814698e-01,9.738895063975815114e-02,1.329589480687209668e-01,1.159340519933935859e-01,1.079837571856796102e-01,1.297901450609312834e-01,1.324186248852650960e-01
3.593750000000000000e-01,1.312271813178613744e-01,1.635906861907732435e-01,1.647719069642916423e-01,1.001401309072163515e-01,1.615661566156635087e-01,1.203143483166570771e-01,1.038066848475849291e-01,1.257853264515775282e-01,1.429327197730146382e-01
1.078125000000000000e+00,1.076717278968137570e-01,1.503880201684776596e-01,1.387590538924342587e-01,9.390766960773565264e-02,1.675798014584091722e-01,1.134999595084079105e-01,9.886495088541789877e-02,1.227872822044238088e-01,1.494299533473039676e-01
1.796875000000000000e+00,8.370224388104796631e-02,1.268208601398455593e-01,1.160008707743149931e-01,8.642116555328591132e-02,1.537979884945037956e-01,1.065622606092321706e-01,9.009637542768836327e-02,1.075446590241624367e-01,1.489789765726076964e-01
2.515625000000000000e+00,5.770964666408762156e-02,8.923573516771982073e-02,8.753770922407076716e-02,7.503716692316872439e-02,1.291694386829998764e-01,9.619905607722356589e-02,8.346524915418201962e-02,8.384468516495985346e-02,1.376406791817915976e-01
3.234375000000000000e+00,3.882707111290763236e-02,5.923304545775321533e-02,6.268601213958117924e-02,6.878874706264023753e-02,9.828591554807682151e-02,7.624713487905979137e-02,7.042567721474828069e-02,6.459003152111433832e-02,1.075765961689346267e-01
3.953125000000000000e+00,2.228991015043500779e-02,3.862881112127700828e-02,4.382781495941503319e-02,5.823350920586263524e-02,6.795027328819647217e-02,5.809281575114231405e-02,6.122997590597401008e-02,5.016271257268600098e-02,7.865072221507680983e-02
4.671875000000000000e+00,1.142392005847204725e-02,2.176242468967356722e-02,2.695554735464136820e-02,4.810418985963704069e-02,4.367393261065136839e-02,4.452926911397838555e-02,4.967978102199382962e-02,3.835245478250213363e-02,5.303304657587796372e-02
5.390625000000000000e+00,5.049573280309397998e-03,1.241987552792529065e-02,1.888842794651448762e-02,3.879102574810309317e-02,2.007592063554158521e-02,3.310853020852944084e-02,3.753741671748476311e-02,3.031957593347077429e-02,3.213406226750994965e-02
6.109375000000000000e+00,1.846768527784453445e-03,8.827590833617468200e-03,1.230221866773591709e-02,2.987139598876406218e-02,8.472586389073640326e-03,2.452752007102984924e-02,2.960962414989436534e-02,2.438504797780522218e-02,1.618464123845088365e-02
6.828125000000000000e+00,7.044182679137492948e-04,4.944800898309311549e-03,7.308514862706452613e-03,2.543317597532002497e-02,5.028763745939809383e-03,1.704092133093526584e-02,1.965092184442422327e-02,1.463568883556566266e-02,1.046377929718432000e-02
7.546875000000000000e+00,2.608956547828694466e-04,2.054760341458570713e-03,5.187071168213450677e-03,1.862043519113672219e-02,2.876374593981140433e-03,1.214077021907964890e-02,1.404707995491980346e-02,8.905074464799175513e-03,3.503559465677409234e-03
8.265625000000000000e+00,1.369702187610064730e-04,1.369702187610067007e-03,3.326730188546808773e-03,1.232541098306317445e-02,3.404688294916450968e-03,9.457910187634709781e-03,1.095651136121468701e-02,6.745145677414972341e-03,1.220204836218613791e-03
8.984375000000000000e+00,5.870152232614565260e-05,7.957317470877540077e-04,1.506672406371072342e-03,7.765823347082707884e-03,4.109106562830196359e-04,6.234725189962514458e-03,9.878491496679188758e-03,4.564641812014962573e-03,6.601074186093561095e-04
9.703125000000000000e+00,0.000000000000000000e+00,6.326719628484596143e-04,6.522391369571747550e-04,6.882364644791471274e-03,0.000000000000000000e+00,3.685310116242001069e-03,6.172735284090430374e-03,2.850737122372502211e-03,1.043582619131478058e-04
1.042187500000000000e+01,0.000000000000000000e+00,4.043882649134477236e-04,5.152689181961681193e-04,5.319569474075336833e-03,0.000000000000000000e+00,2.028197640375378839e-03,5.214235238825639177e-03,1.457306445067081289e-03,0.000000000000000000e+00
1.114062500000000000e+01,0.000000000000000000e+00,9.783587054357606959e-05,4.504591245874071275e-04,4.479298245465497368e-03,0.000000000000000000e+00,1.358825315861305998e-03,3.900518405945573117e-03,1.171355528594763022e-03,0.000000000000000000e+00
