# vs,max_surftimeconst,max_average_velocity_axis
1.000000000000000000e+00,2.612244897959183465e+00,3.675154195691807679e-01
4.000000000000000000e+00,2.122448979591836427e+00,1.088475268545772590e+00
5.000000000000000000e-01,2.775510204081632626e+00,1.886350161190782915e-01
8.000000000000000000e+00,1.469387755102040671e+00,1.899927679353222487e+00
