# time,omega_active^2,95CLI,vs,surftimeconst
9.999000000000000554e+00,8.257636096983917014e+03,7.203676118668556683e+02,8.000000000000000000e+00,4.000000000000000000e+00
9.999000000000000554e+00,2.412784861287766034e+03,3.214260422277760654e+01,1.000000000000000000e+00,4.000000000000000000e+00
9.999000000000000554e+00,6.245500752598395593e+03,2.176855374665701106e+02,4.000000000000000000e+00,4.000000000000000000e+00
9.999000000000000554e+00,2.034481246601203566e+03,1.191774884124994038e+01,5.000000000000000000e-01,4.000000000000000000e+00
9.999000000000000554e+00,3.740242065750864640e+03,5.294418846589984184e+01,1.000000000000000000e+00,5.000000000000000000e+00
9.999000000000000554e+00,3.151913949756078182e+03,2.042202633772766873e+01,5.000000000000000000e-01,5.000000000000000000e+00
9.999000000000000554e+00,1.148786307794835739e+04,4.199917975054475505e+02,4.000000000000000000e+00,5.000000000000000000e+00
9.999000000000000554e+00,1.590462653988006787e+04,1.515683328366090109e+03,8.000000000000000000e+00,5.000000000000000000e+00
9.999000000000000554e+00,2.719094272946879573e+04,1.831749587762594501e+03,8.000000000000000000e+00,6.000000000000000000e+00
9.999000000000000554e+00,4.533337259495368926e+03,3.130184571655372494e+01,5.000000000000000000e-01,6.000000000000000000e+00
9.999000000000000554e+00,1.637044653108260172e+04,9.811372528344611510e+02,4.000000000000000000e+00,6.000000000000000000e+00
9.999000000000000554e+00,5.173075543060760538e+03,6.988720726489890467e+01,1.000000000000000000e+00,6.000000000000000000e+00
9.999000000000000554e+00,3.076074555430472537e+04,1.491425331633535507e+03,8.000000000000000000e+00,7.000000000000000000e+00
9.999000000000000554e+00,6.213236350846136702e+03,4.217864351678622370e+01,5.000000000000000000e-01,7.000000000000000000e+00
9.999000000000000554e+00,6.871903545178434797e+03,9.803720801157474796e+01,1.000000000000000000e+00,7.000000000000000000e+00
9.999000000000000554e+00,1.857338425938996443e+04,1.006963830243204939e+03,4.000000000000000000e+00,7.000000000000000000e+00
9.999000000000000554e+00,2.226379649417493783e+04,1.099042828758686483e+03,4.000000000000000000e+00,8.000000000000000000e+00
9.999000000000000554e+00,8.995292636002839572e+03,1.249525230093717596e+02,1.000000000000000000e+00,8.000000000000000000e+00
9.999000000000000554e+00,8.179576457435106931e+03,5.628196796891087672e+01,5.000000000000000000e-01,8.000000000000000000e+00
9.999000000000000554e+00,4.014291454897102085e+04,4.137550176960990029e+03,8.000000000000000000e+00,8.000000000000000000e+00
