# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,1.239670256750542016e-01,0.000000000000000000e+00
2.470278535103650856e-03,7.459797793009181888e-02,0.000000000000000000e+00
4.392845456035934966e-03,-1.168593503946074863e-02,0.000000000000000000e+00
7.811706625951745156e-03,-1.405637946298468888e-01,0.000000000000000000e+00
1.389139705019461560e-02,-3.036701074847094062e-01,0.000000000000000000e+00
2.470278535103651030e-02,-3.703753454629196140e-01,2.500000000000000000e-01
4.392845456035934792e-02,-4.420574561403499136e-01,2.500000000000000000e-01
7.811706625951746197e-02,-5.237541368393805463e-01,2.500000000000000000e-01
1.389139705019461490e-01,-6.002791628317406536e-01,2.500000000000000000e-01
2.470278535103651030e-01,-6.870548498987043562e-01,5.000000000000000000e-01
4.392845456035935348e-01,-7.868683869795607411e-01,1.000000000000000000e+00
7.811706625951745364e-01,-8.834131996913033857e-01,5.000000000000000000e-01
