# pos_1,average_velocity_axis
1.389139705019461386e-03,-8.184341165737873958e-02
2.470278535103650856e-03,-1.163848226587180096e-01
4.392845456035934966e-03,-2.261903822451386548e-01
7.811706625951745156e-03,-3.477026313325216611e-01
1.389139705019461560e-02,-4.871723726029743573e-01
2.470278535103651030e-02,-5.864728140492215802e-01
4.392845456035934792e-02,-5.789284124515978736e-01
7.811706625951746197e-02,-6.077466623249760946e-01
1.389139705019461490e-01,-6.756354856584105839e-01
2.470278535103651030e-01,-7.473606018161219611e-01
4.392845456035935348e-01,-8.064498516681017914e-01
7.811706625951745364e-01,-8.487141248308591734e-01
