# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,2.041791457982193858e+00
7.811706625951745156e-03,1.148183714244042086e+00
1.389139705019461560e-02,0.000000000000000000e+00
2.470278535103651030e-02,3.630875709323088674e-01
4.392845456035934792e-02,1.633433166385755086e+00
7.811706625951746197e-02,1.607457199941658699e+00
1.389139705019461490e-01,8.393724968589632018e-01
2.470278535103651030e-01,8.714101702375411929e-01
4.392845456035935348e-01,1.000477814411275146e+00
7.811706625951745364e-01,1.010401668534756991e+00
