# pos_1,average_velocity_axis
1.389139705019461386e-03,-6.713563934173769066e-02
2.470278535103650856e-03,-1.441874507602926292e-01
4.392845456035934966e-03,-2.357783026359278611e-01
7.811706625951745156e-03,-3.781266462164264430e-01
1.389139705019461560e-02,-5.291027511279497997e-01
2.470278535103651030e-02,-6.065567206838966552e-01
4.392845456035934792e-02,-6.197214529289906126e-01
7.811706625951746197e-02,-6.619312929630420950e-01
1.389139705019461490e-01,-7.259307444235714168e-01
2.470278535103651030e-01,-7.931298659457912681e-01
4.392845456035935348e-01,-8.516711833987984370e-01
7.811706625951745364e-01,-9.239204452319597083e-01
