# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,3.177765507266217676e-02,0.000000000000000000e+00
2.470278535103650856e-03,-2.149734965074445031e-02,0.000000000000000000e+00
4.392845456035934966e-03,-1.141807228915661110e-01,0.000000000000000000e+00
7.811706625951745156e-03,-2.451274199536786491e-01,0.000000000000000000e+00
1.389139705019461560e-02,-4.065657336904940355e-01,2.500000000000000000e-01
2.470278535103651030e-02,-5.098336059570079959e-01,2.500000000000000000e-01
4.392845456035934792e-02,-5.841639865016154953e-01,2.500000000000000000e-01
7.811706625951746197e-02,-6.478961240391512000e-01,5.000000000000000000e-01
1.389139705019461490e-01,-7.137029388559876786e-01,5.000000000000000000e-01
2.470278535103651030e-01,-7.929654191910691097e-01,5.000000000000000000e-01
4.392845456035935348e-01,-8.837431832112793151e-01,7.500000000000000000e-01
7.811706625951745364e-01,-9.773652464076103552e-01,1.000000000000000000e+00
