# us,max_surftimeconst,max_average_velocity_axis
8.000000000000000444e-01,3.061224489795918435e-01,-1.566599859980765674e-01
4.000000000000000222e-01,9.183673469387755306e-01,-2.941242727059692474e-01
2.000000000000000111e-01,1.040816326530612290e+00,-4.791390088957063753e-01
1.000000000000000056e-01,1.163265306122448939e+00,-6.705302706456462980e-01
5.000000000000000278e-02,1.163265306122448939e+00,-7.910805847232694754e-01
