# pos_1,concentration
1.389139705019461386e-03,1.606609054511589640e+00
2.470278535103650856e-03,1.581059663359506651e+00
4.392845456035934966e-03,8.890951862985921883e-01
7.811706625951745156e-03,8.570999404860182302e-01
1.389139705019461560e-02,7.229740745302152272e-01
2.470278535103651030e-02,1.084155197732233455e+00
4.392845456035934792e-02,1.181226461796700988e+00
7.811706625951746197e-02,1.157084919656124589e+00
1.389139705019461490e-01,1.016180226978580237e+00
2.470278535103651030e-01,9.802569912828942300e-01
4.392845456035935348e-01,1.011028240419542090e+00
7.811706625951745364e-01,9.749511823028457203e-01
