# surftimeconst,average_velocity_axis_0_t_inf__params_0o8,average_velocity_axis_0_t_inf__params_0o4,average_velocity_axis_0_t_inf__params_0o2,average_velocity_axis_0_t_inf__params_0o1,average_velocity_axis_0_t_inf__params_0o05
1.040816326530612290e+00,-2.157791393401028157e-01,-2.958332910439249730e-01,-4.791390088957063753e-01,-6.726352476412335024e-01,-7.918037743349742863e-01
1.102040816326530503e+00,-2.248762348415064283e-01,-2.987692272762058066e-01,-4.799381629256055382e-01,-6.712011927945213952e-01,-7.911816811228157276e-01
1.163265306122448939e+00,-2.343322650970789955e-01,-3.029577593406704850e-01,-4.819974254160748206e-01,-6.705302706456462980e-01,-7.910805847232694754e-01
1.224489795918367374e+00,-2.440866557061348030e-01,-3.082976205798053648e-01,-4.852138221924288120e-01,-6.705683088640136402e-01,-7.914573113142682192e-01
1.285714285714285587e+00,-2.540788322679878863e-01,-3.146875443360965252e-01,-4.894843790799823235e-01,-6.712611351190292952e-01,-7.922686870737446485e-01
1.346938775510204023e+00,-2.642482203819526143e-01,-3.220262639520306003e-01,-4.947061219040503888e-01,-6.725545770800985812e-01,-7.934715381796323408e-01
1.408163265306122458e+00,-2.745342456473429671e-01,-3.302125127700936691e-01,-5.007760764899473749e-01,-6.743944624166272606e-01,-7.950226908098635414e-01
1.469387755102040671e+00,-2.848763336634732579e-01,-3.391450241327722548e-01,-5.075912686629883153e-01,-6.767266187980206515e-01,-7.968789711423713840e-01
1.530612244897959107e+00,-2.952139100296575780e-01,-3.487225313825523809e-01,-5.150487242484876882e-01,-6.794968738936846275e-01,-7.989972053550887798e-01
1.591836734693877542e+00,-3.054864003452102961e-01,-3.588437678619207927e-01,-5.230454690717607491e-01,-6.826510553730248398e-01,-8.013342196259485295e-01
1.653061224489795977e+00,-3.156332302094454478e-01,-3.694074669133637912e-01,-5.314785289581221983e-01,-6.861349909054467178e-01,-8.038468401328835444e-01
1.714285714285714191e+00,-3.255938252216772355e-01,-3.803123618793673444e-01,-5.402449297328866251e-01,-6.898945081603555796e-01,-8.064918930538267361e-01
1.775510204081632626e+00,-3.353076109812196393e-01,-3.914571861024178645e-01,-5.492416972213685078e-01,-6.938754348071575206e-01,-8.092262045667109049e-01
1.836734693877551061e+00,-3.447140130873874719e-01,-4.027406729250018191e-01,-5.583658572488829908e-01,-6.980235985152578593e-01,-8.120066008494690735e-01
1.897959183673469274e+00,-3.537524571394941586e-01,-4.140615556896054539e-01,-5.675144356407447743e-01,-7.022848269540622468e-01,-8.147899080800339311e-01
1.959183673469387710e+00,-3.623623687368544566e-01,-4.253185677387153474e-01,-5.765844582222688919e-01,-7.066049477929758904e-01,-8.175329524363385003e-01
2.020408163265305923e+00,-3.704831734787820130e-01,-4.364104424148173011e-01,-5.854729508187698217e-01,-7.109297887014051076e-01,-8.201925600963155816e-01
2.081632653061224580e+00,-3.780542969645916962e-01,-4.472359130603981159e-01,-5.940769392555624862e-01,-7.152051773487551056e-01,-8.227255572378979753e-01
2.142857142857142794e+00,-3.850151647935970423e-01,-4.576937130179434821e-01,-6.022934493579612525e-01,-7.193769414044310917e-01,-8.250887700390190371e-01
2.204081632653061007e+00,-3.913052025651125865e-01,-4.676825756299407555e-01,-6.100195069512813761e-01,-7.233909085378393833e-01,-8.272390246776109013e-01
2.265306122448979664e+00,-3.968638358784524200e-01,-4.771012342388755156e-01,-6.171521378608374464e-01,-7.271929064183848546e-01,-8.291331473316070344e-01
2.326530612244897878e+00,-4.016304903329308562e-01,-4.858484221872343412e-01,-6.235883679119444967e-01,-7.307287627154741561e-01,-8.307279641789404590e-01
2.387755102040816091e+00,-4.055445915278621527e-01,-4.938228728175035886e-01,-6.292252229299171162e-01,-7.339443050985114958e-01,-8.319803013975433092e-01
2.448979591836734748e+00,-4.085455650625600121e-01,-5.009233194721696147e-01,-6.339597287400695613e-01,-7.367853612369033023e-01,-8.328469851653488298e-01
2.510204081632652962e+00,-4.105728365363389143e-01,-5.070484954937182209e-01,-6.376889111677173094e-01,-7.391977588000551158e-01,-8.332848416602902653e-01
2.571428571428571175e+00,-4.115658315485128949e-01,-5.120971342246360969e-01,-6.403097960381747278e-01,-7.411273254573721436e-01,-8.332506970602998608e-01
2.632653061224489832e+00,-4.114639756983968777e-01,-5.159679690074101543e-01,-6.417194091767570718e-01,-7.425198888782604811e-01,-8.327013775433110832e-01
2.693877551020408045e+00,-4.102066945853040103e-01,-5.185597331845255287e-01,-6.418147764087793750e-01,-7.433212767321253356e-01,-8.315937092872568437e-01
2.755102040816326259e+00,-4.077334138085488835e-01,-5.197711600984693536e-01,-6.404929235595546722e-01,-7.434773166883724693e-01,-8.298845184700691657e-01
2.816326530612244916e+00,-4.039835589674459770e-01,-5.195009830917280969e-01,-6.376508764543997732e-01,-7.429338364164074227e-01,-8.275306312696819599e-01
2.877551020408163129e+00,-3.988965556613091046e-01,-5.176479355067873378e-01,-6.331856609186279350e-01,-7.416366635856354028e-01,-8.244888738640272496e-01
2.938775510204081343e+00,-3.924118294894527459e-01,-5.141107506861342102e-01,-6.269943027775555233e-01,-7.395316258654625052e-01,-8.207160724310388344e-01
3.000000000000000000e+00,-3.844688060511907146e-01,-5.087881619722547377e-01,-6.189738278564957952e-01,-7.365645509252947143e-01,-8.161690531486487377e-01
