# pos_1,average_velocity_axis
1.389139705019461386e-03,-1.128147433384603104e-01
2.470278535103650856e-03,-1.069031832933095005e-01
4.392845456035934966e-03,-1.705712999988160949e-01
7.811706625951745156e-03,-3.744436325862291470e-01
1.389139705019461560e-02,-4.991973676576632046e-01
2.470278535103651030e-02,-5.449503941922101413e-01
4.392845456035934792e-02,-5.036107913025347216e-01
7.811706625951746197e-02,-4.979652528686783208e-01
1.389139705019461490e-01,-5.585800565249451344e-01
2.470278535103651030e-01,-5.946709806287825417e-01
4.392845456035935348e-01,-5.709967849487970204e-01
7.811706625951745364e-01,-5.275077268112724482e-01
