# pos_1,concentration
1.389139705019461386e-03,9.401601887894955212e+01
2.470278535103650856e-03,1.938533397002009622e+02
4.392845456035934966e-03,4.955079269981178669e+01
7.811706625951745156e-03,3.901024180346220760e+01
1.389139705019461560e-02,2.820480566368485853e+01
2.470278535103651030e-02,8.811515440918228137e+00
4.392845456035934792e-02,9.910158539962355961e-01
7.811706625951746197e-02,0.000000000000000000e+00
1.389139705019461490e-01,0.000000000000000000e+00
2.470278535103651030e-01,0.000000000000000000e+00
4.392845456035935348e-01,0.000000000000000000e+00
7.811706625951745364e-01,0.000000000000000000e+00
