# distance,velocity
7.812500000000000000e-03,7.353621902466740412e-01
2.343750000000000000e-02,7.351892059421438752e-01
3.906250000000000000e-02,nan
5.468750000000000000e-02,nan
7.031250000000000000e-02,nan
8.593750000000000000e-02,nan
1.015625000000000000e-01,nan
1.171875000000000000e-01,nan
1.328125000000000000e-01,nan
1.484375000000000000e-01,nan
1.640625000000000000e-01,nan
1.796875000000000000e-01,nan
1.953125000000000000e-01,nan
2.109375000000000000e-01,nan
2.265625000000000000e-01,nan
2.421875000000000000e-01,nan
2.578125000000000000e-01,nan
2.734375000000000000e-01,nan
2.890625000000000000e-01,nan
3.046875000000000000e-01,nan
3.203125000000000000e-01,nan
3.359375000000000000e-01,nan
3.515625000000000000e-01,nan
3.671875000000000000e-01,nan
3.828125000000000000e-01,nan
3.984375000000000000e-01,nan
4.140625000000000000e-01,nan
4.296875000000000000e-01,nan
4.453125000000000000e-01,nan
4.609375000000000000e-01,nan
4.765625000000000000e-01,nan
4.921875000000000000e-01,nan
5.078125000000000000e-01,nan
5.234375000000000000e-01,nan
5.390625000000000000e-01,nan
5.546875000000000000e-01,nan
5.703125000000000000e-01,nan
5.859375000000000000e-01,nan
6.015625000000000000e-01,nan
6.171875000000000000e-01,nan
6.328125000000000000e-01,nan
6.484375000000000000e-01,nan
6.640625000000000000e-01,nan
6.796875000000000000e-01,nan
6.953125000000000000e-01,nan
7.109375000000000000e-01,nan
7.265625000000000000e-01,nan
7.421875000000000000e-01,nan
7.578125000000000000e-01,nan
7.734375000000000000e-01,nan
7.890625000000000000e-01,nan
8.046875000000000000e-01,nan
8.203125000000000000e-01,nan
8.359375000000000000e-01,nan
8.515625000000000000e-01,nan
8.671875000000000000e-01,nan
8.828125000000000000e-01,nan
8.984375000000000000e-01,nan
9.140625000000000000e-01,nan
9.296875000000000000e-01,nan
9.453125000000000000e-01,nan
9.609375000000000000e-01,nan
9.765625000000000000e-01,nan
9.921875000000000000e-01,nan
