# time, lyapunov_exponent
2.000000000000000042e-03,4.878602705376758664e+00
4.000000000000000083e-03,1.877346871408804629e+00
1.600000000000000033e-02,3.845850657776251902e-01
3.200000000000000067e-02,9.615359808679700970e-01
6.400000000000000133e-02,1.806376386022819247e+00
1.280000000000000027e-01,2.603123612833467604e+00
2.560000000000000053e-01,3.041655724278871986e+00
5.120000000000000107e-01,3.239113982879766596e+00
1.024000000000000021e+00,3.259166666053037176e+00
1.536000000000000032e+00,3.236691273536850488e+00
2.048000000000000043e+00,3.181695785915570784e+00
4.096000000000000085e+00,2.918859341533831309e+00
8.192000000000000171e+00,3.178004114487977816e+00
