# time, c_var
2.000000000000000042e-03,1.171642328171010336e-09
4.000000000000000083e-03,2.755189544495004390e-09
1.600000000000000033e-02,5.135755839144655266e-09
3.200000000000000067e-02,3.946864181510658203e-09
6.400000000000000133e-02,2.769123951029315084e-09
1.280000000000000027e-01,1.736733042343808362e-09
2.560000000000000053e-01,9.129667498025331694e-10
5.120000000000000107e-01,3.567173298221152554e-10
1.024000000000000021e+00,8.477205254471945256e-11
1.536000000000000032e+00,2.418719814452047038e-11
2.048000000000000043e+00,7.456666698305237066e-12
4.096000000000000085e+00,nan
8.192000000000000171e+00,nan
