# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst
9.996000000000000441e+00,4.248810309279961728e-01,1.099385099080057819e-02,2.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.118380722288915941e+00,1.982093474864191421e-02,1.000000000000000000e+01,0.000000000000000000e+00
9.996000000000000441e+00,1.682437349939975846e+00,2.628261560308839395e-02,8.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,6.062402011585884543e-01,9.727704630452247911e-03,2.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.329738765506202292e+00,3.429261582820229692e-02,1.000000000000000000e+01,1.000000000000000000e+00
9.996000000000000441e+00,1.922903079981992835e+00,2.675562646089791469e-02,8.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.229190006002400803e+00,3.679470949833074656e-02,1.000000000000000000e+01,2.000000000000000000e+00
9.996000000000000441e+00,6.308204086322029003e-01,9.329019927473239729e-03,2.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,1.879497136354541631e+00,1.720194072942732993e-02,8.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.167560974389755923e+00,1.726799861277866430e-02,1.000000000000000000e+01,3.000000000000000000e+00
9.996000000000000441e+00,6.224451616584133484e-01,9.864579400941170945e-03,2.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.772314625850339942e+00,1.849670702323191057e-02,8.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,5.885258165766307226e-01,7.987599592878251442e-03,2.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,1.969527551020407996e+00,3.002796371589119481e-02,1.000000000000000000e+01,4.000000000000000000e+00
9.996000000000000441e+00,1.607433398359343624e+00,2.204019677572157526e-02,8.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,1.558284883953581446e+00,2.895744517152736702e-02,1.000000000000000000e+01,5.000000000000000000e+00
9.996000000000000441e+00,5.200034314507052668e-01,9.461257199791394193e-03,2.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,1.381438906812725076e+00,3.816373215588892559e-02,8.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,1.392856042416966478e+00,3.525638935102034383e-02,1.000000000000000000e+01,6.000000000000000000e+00
9.996000000000000441e+00,1.174181347539015485e+00,4.110789641162723024e-02,8.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,4.710181549182173022e-01,1.141352110767007016e-02,2.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,1.165471018407362891e+00,9.571637871897895056e-02,1.000000000000000000e+01,7.000000000000000000e+00
9.996000000000000441e+00,4.041246736976040199e-01,1.063722081658382418e-02,2.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,9.571796155962384312e-01,3.636488166194725563e-02,8.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,7.927059511304521688e-01,4.363827478934805687e-02,8.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,9.621397058823527582e-01,7.637748445185647828e-02,1.000000000000000000e+01,8.000000000000000000e+00
9.996000000000000441e+00,3.627231861494597531e-01,1.141564227335878194e-02,2.000000000000000000e+00,8.000000000000000000e+00
