# surftimeconst,average_velocity_axis_0_t_inf__params_2o0,average_velocity_axis_0_t_inf__params_10o0,average_velocity_axis_0_t_inf__params_8o0
0.000000000000000000e+00,4.396361460952077360e-01,2.129614401116291411e+00,1.705623600582593102e+00
1.632653061224489666e-01,4.679186424032594216e-01,2.169548027767830511e+00,1.744777205241595519e+00
3.265306122448979331e-01,4.937427892649103311e-01,2.203974333851230760e+00,1.779124055297263363e+00
4.897959183673469274e-01,5.171864818813188824e-01,2.233076151482201510e+00,1.808817804838574572e+00
6.530612244897958663e-01,5.383276154536431601e-01,2.257036312776450337e+00,1.834012107954506643e+00
8.163265306122448051e-01,5.572440851830418040e-01,2.276037649849686595e+00,1.854860618734036404e+00
9.795918367346938549e-01,5.740137862706733429e-01,2.290262994817618303e+00,1.871516991266141128e+00
1.142857142857142794e+00,5.887146139176960835e-01,2.299895179795954370e+00,1.884134879639798088e+00
1.306122448979591733e+00,6.014244633252684435e-01,2.305117036900403704e+00,1.892867937943984780e+00
1.469387755102040671e+00,6.122212296945487298e-01,2.306111398246674771e+00,1.897869820267678476e+00
1.632653061224489610e+00,6.211828082266953599e-01,2.303061095950476034e+00,1.899294180699856449e+00
1.795918367346938549e+00,6.283870941228668627e-01,2.296148962127515514e+00,1.897294673329495973e+00
1.959183673469387710e+00,6.339119825842216560e-01,2.285557828893502563e+00,1.892024952245574099e+00
2.122448979591836427e+00,6.378353688119180465e-01,2.271470528364146091e+00,1.883638671537068321e+00
2.285714285714285587e+00,6.402351480071144518e-01,2.254069892655154117e+00,1.872289485292956135e+00
2.448979591836734304e+00,6.411892153709691788e-01,2.233538753882235550e+00,1.858131047602213926e+00
2.612244897959183465e+00,6.407754661046407563e-01,2.210059944161098411e+00,1.841317012553820298e+00
2.775510204081632626e+00,6.390717954092877129e-01,2.183816295607451607e+00,1.822001034236751638e+00
2.938775510204081343e+00,6.361560984860683554e-01,2.154990640337004493e+00,1.800336766739985883e+00
3.102040816326530503e+00,6.321062705361408796e-01,2.123765810465464643e+00,1.776477864152499642e+00
3.265306122448979220e+00,6.270002067606639251e-01,2.090324638108540967e+00,1.750577980563270630e+00
3.428571428571428381e+00,6.209158023607959098e-01,2.054849955381942372e+00,1.722790770061275678e+00
3.591836734693877098e+00,6.139309525376950294e-01,2.017524594401377325e+00,1.693269886735492502e+00
3.755102040816326259e+00,6.061235524925201457e-01,1.978531387282554288e+00,1.662168984674897931e+00
3.918367346938775420e+00,5.975714974264288992e-01,1.938053166141181727e+00,1.629641717968470127e+00
4.081632653061224580e+00,5.883526825405804850e-01,1.896272763092968550e+00,1.595841740705185696e+00
4.244897959183672853e+00,5.785450030361329876e-01,1.853373010253623665e+00,1.560922706974022578e+00
4.408163265306122014e+00,5.682263541142447139e-01,1.809536739738854649e+00,1.525038270863956935e+00
4.571428571428571175e+00,5.574746309760739704e-01,1.764946783664370855e+00,1.488342086463966485e+00
4.734693877551020336e+00,5.463677288227792861e-01,1.719785974145880969e+00,1.450987807863028944e+00
4.897959183673468608e+00,5.349835428555196337e-01,1.674237143299094122e+00,1.413129089150122031e+00
5.061224489795917769e+00,5.233999682754526539e-01,1.628483123239717667e+00,1.374919584414221685e+00
5.224489795918366930e+00,5.116949002837367644e-01,1.582706746083460736e+00,1.336512947744306068e+00
5.387755102040816091e+00,4.999462340815308825e-01,1.537090843946031571e+00,1.298062833229351565e+00
5.551020408163265252e+00,4.882318648699930375e-01,1.491818248943139302e+00,1.259722894958336559e+00
5.714285714285713524e+00,4.766296878502817025e-01,1.447071793190493061e+00,1.221646787020237657e+00
5.877551020408162685e+00,4.652175982235555729e-01,1.403034308803800201e+00,1.183988163504033242e+00
6.040816326530611846e+00,4.540734911909729554e-01,1.359888627898770075e+00,1.146900678498699033e+00
6.204081632653061007e+00,4.432752619536916017e-01,1.317817582591110925e+00,1.110537986093213192e+00
6.367346938775509280e+00,4.329008057128708176e-01,1.277004004996531439e+00,1.075053740376552991e+00
6.530612244897958441e+00,4.230280176696686878e-01,1.237630727230741412e+00,1.040601595437696147e+00
6.693877551020407601e+00,4.137347930252434081e-01,1.199880581409447089e+00,1.007335205365618380e+00
6.857142857142856762e+00,4.050990269807536182e-01,1.163936399648358933e+00,9.754082242492987387e-01
7.020408163265305923e+00,3.971986147373571807e-01,1.129981014063185185e+00,9.449743061777140518e-01
7.183673469387754196e+00,3.901114514962134017e-01,1.098197256769634311e+00,9.161871052398407045e-01
7.346938775510203357e+00,3.839154324584801437e-01,1.068767959883414775e+00,8.892002755246570800e-01
7.510204081632652517e+00,3.786884528253158244e-01,1.041875955520235486e+00,8.641674711211386750e-01
7.673469387755101678e+00,3.745084077978788617e-01,1.017704075795803575e+00,8.412423461182645390e-01
7.836734693877550839e+00,3.714531925773278953e-01,9.964351528258301727e-01,8.205785546050123891e-01
8.000000000000000000e+00,3.696007023648213430e-01,9.782520187260228539e-01,8.023297506703586102e-01
