# surftimeconst,average_velocity_axis_0_t_inf__params_12o0_7o0,average_velocity_axis_0_t_inf__params_12o0_6o0,average_velocity_axis_0_t_inf__params_16o0_6o0,average_velocity_axis_0_t_inf__params_12o0_5o0,average_velocity_axis_0_t_inf__params_16o0_7o0,average_velocity_axis_0_t_inf__params_16o0_5o0,average_velocity_axis_0_t_inf__params_16o0_3o0,average_velocity_axis_0_t_inf__params_12o0_3o0
0.000000000000000000e+00,7.267482965121603300e-01,7.444264108162943483e-01,1.103590544415120611e+00,8.307988986907196560e-01,1.209620168424927034e+00,1.065179889166054883e+00,1.190649720514102894e+00,8.307176631230737129e-01
1.224489795918367319e-01,7.533650538791443196e-01,7.684132744141882743e-01,1.121282234642793529e+00,8.454796919713850611e-01,1.206956114430009386e+00,1.084581622372905008e+00,1.197776611474533626e+00,8.445995843242096734e-01
2.448979591836734637e-01,7.777090775535835387e-01,7.907054433847907626e-01,1.136790992064126371e+00,8.585570606593231346e-01,1.204362282317993804e+00,1.101812567809745236e+00,1.203520902079127763e+00,8.573786052337304397e-01
3.673469387755101678e-01,7.998516431750861688e-01,8.113448073275923988e-01,1.150191997648604580e+00,8.700890231866231783e-01,1.201818356506947572e+00,1.116947131010896044e+00,1.207940518651799966e+00,8.690865928582879318e-01
4.897959183673469274e-01,8.198640263832607245e-01,8.303732558420838794e-01,1.161560432365714268e+00,8.801335979853746050e-01,1.199304021414938415e+00,1.130059717510677686e+00,1.211093387516465558e+00,8.797554142045331815e-01
6.122448979591836871e-01,8.378175028177153871e-01,8.478326785277556787e-01,1.170971477184941101e+00,8.887488034876664944e-01,1.196798961460034061e+00,1.141224732843411749e+00,1.213037434997039199e+00,8.894169362791173317e-01
7.346938775510203357e-01,8.537833481180585604e-01,8.637649649840988264e-01,1.178500313075771411e+00,8.959926581255887035e-01,1.194282861060301570e+00,1.150516582543418043e+00,1.213830587417435769e+00,8.981030260886921912e-01
8.571428571428570953e-01,8.678328379238987589e-01,8.782120048106035748e-01,1.184222121007690642e+00,9.019231803312303120e-01,1.191735404633809114e+00,1.158009672145017488e+00,1.213530771101571037e+00,9.058455506399089030e-01
9.795918367346938549e-01,8.800372478748440530e-01,8.912156876067611755e-01,1.188212081950184906e+00,9.065983885366806216e-01,1.189136276598623532e+00,1.163778407182530561e+00,1.212195912373359219e+00,9.126763769394186099e-01
1.102040816326530503e+00,8.904678536105027353e-01,9.028179029720617699e-01,1.190545376872740091e+00,9.100763011740290453e-01,1.186465161372812993e+00,1.167897193190277960e+00,1.209883937556715416e+00,9.186273719938730098e-01
1.224489795918367374e+00,8.991959307704834314e-01,9.130605405059962765e-01,1.191297186744841863e+00,9.124149366753651069e-01,1.183701743374444559e+00,1.170440435702580162e+00,1.206652772975554733e+00,9.237304028099232456e-01
1.346938775510204023e+00,9.062927549943944339e-01,9.219854898080555028e-01,1.190542692535976110e+00,9.136723134727778861e-01,1.180825707021585735e+00,1.171482540253757643e+00,1.202560344953792271e+00,9.280173363942206821e-01
1.469387755102040671e+00,9.118296019218437021e-01,9.296346404777297012e-01,1.188357075215628944e+00,9.139064499983571288e-01,1.177816736732304692e+00,1.171097912378131545e+00,1.197664579815342911e+00,9.315200397534167953e-01
1.591836734693877542e+00,9.158777471924401947e-01,9.360498821145099013e-01,1.184815515753286252e+00,9.131753646841916927e-01,1.174654516924668268e+00,1.169360957610022123e+00,1.192023403884121535e+00,9.342703798941627280e-01
1.714285714285714191e+00,9.185084664457918713e-01,9.412731043178866885e-01,1.179993195118433480e+00,9.115370759623713237e-01,1.171318732016744635e+00,1.166346081483749852e+00,1.185694743484043023e+00,9.363002238231100671e-01
1.836734693877551061e+00,9.197930353215070243e-01,9.453461966873509814e-01,1.173965294280556959e+00,9.090496022649853236e-01,1.167789066426600630e+00,1.162127689533635655e+00,1.178736524939022701e+00,9.376414385469098445e-01
1.959183673469387710e+00,9.198027294591942793e-01,9.483110488223929213e-01,1.166806994209142578e+00,9.057709620241229942e-01,1.164045204572304204e+00,1.156780187293999784e+00,1.171206674572975448e+00,9.383258910722136470e-01
2.081632653061224580e+00,9.186088244984614848e-01,9.502095503225035378e-01,1.158593475873676004e+00,9.017591736718738593e-01,1.160066830871922861e+00,1.150377980299163383e+00,1.163163118709816146e+00,9.383854484056728396e-01
2.204081632653061007e+00,9.162825960789177104e-01,9.510835907871736383e-01,1.149399920243643125e+00,8.970722556403269987e-01,1.155833629743524327e+00,1.142995474083446483e+00,1.154663783673459676e+00,9.378519775539387870e-01
2.326530612244897878e+00,9.128953198401704716e-01,9.509750598158935864e-01,1.139301508288529829e+00,8.917682263615718252e-01,1.151325285605175663e+00,1.134707074181170006e+00,1.145766595787821363e+00,9.367573455236627433e-01
2.448979591836734748e+00,9.085182714218288380e-01,9.499258470081543004e-01,1.128373420977822006e+00,8.859051042676979737e-01,1.146521482874944819e+00,1.125587186126654426e+00,1.136529481376815864e+00,9.351334193214960733e-01
