# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta,surftimeprefactor
5.637931298828124937e-02,9.585369021683354598e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00
7.807980319824218973e-02,9.502589409395275147e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,2.500000000000000000e-01
9.643581662597655590e-02,9.765893406263621151e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,5.000000000000000000e-01
9.948286970214842428e-02,9.594263999412398769e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,7.500000000000000000e-01
1.136369149658203181e-01,9.588084105134916588e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,1.000000000000000000e+00
1.181235805908203151e-01,9.533628148906148417e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,1.250000000000000000e+00
1.199552542968749941e-01,9.725918349079347089e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,1.500000000000000000e+00
1.282528392578125009e-01,9.711821007188708652e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,1.750000000000000000e+00
1.266337048583984215e-01,9.574031552149919744e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,2.000000000000000000e+00
1.256016028808593643e-01,9.471232000453454550e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,2.250000000000000000e+00
1.153226990966796928e-01,9.538707858946650353e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,2.500000000000000000e+00
1.152738157470703101e-01,9.444331856492294008e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,2.750000000000000000e+00
1.209027080810546884e-01,9.439307149158681146e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,3.000000000000000000e+00
1.119341468505859472e-01,9.596957652993740387e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,3.250000000000000000e+00
1.060168030029296909e-01,9.459450464802595174e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,3.500000000000000000e+00
1.150345315185546946e-01,9.608640330322403000e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,3.750000000000000000e+00
9.741831882324218650e-02,9.420264405254834272e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,4.000000000000000000e+00
1.008442482421874897e-01,9.479448070431032228e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,4.500000000000000000e+00
8.827366733398438192e-02,9.433099453249705474e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,5.000000000000000000e+00
9.390459855957031254e-02,9.501229699970484277e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,6.000000000000000000e+00
8.531376149902343553e-02,9.448998412358992557e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,7.000000000000000000e+00
8.473296083984374616e-02,9.673134424830712175e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,8.000000000000000000e+00
7.179106330566406569e-02,9.609899718649781916e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,9.000000000000000000e+00
7.308389399414061405e-02,9.428614420832592824e-03,1.000000000000000000e+00,nan,0.000000000000000000e+00,1.000000000000000000e+01
2.378940492187500144e-01,3.744334421730499685e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00
3.332440835937500179e-01,3.933462577791274617e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,2.500000000000000000e-01
3.602754671874999759e-01,4.063083576801254648e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,5.000000000000000000e-01
4.006107066406250361e-01,3.518655449934170176e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,7.500000000000000000e-01
3.817309937499999695e-01,3.784944612916623513e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,1.000000000000000000e+00
3.742798335937499998e-01,4.092569779831529975e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,1.250000000000000000e+00
3.962909277343749648e-01,3.972779087386116986e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,1.500000000000000000e+00
3.848501582031249590e-01,4.150266254104305330e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,1.750000000000000000e+00
3.991147910156249701e-01,4.120942828220453685e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,2.000000000000000000e+00
3.768352824218750285e-01,4.096049822044805361e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,2.250000000000000000e+00
3.875262234374999837e-01,4.017823184918764556e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,2.500000000000000000e+00
3.524369921875000200e-01,3.822201691860647316e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,2.750000000000000000e+00
3.242159734375000268e-01,3.832870627472489272e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,3.000000000000000000e+00
3.878621941406250606e-01,3.838589248671501336e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,3.250000000000000000e+00
3.489418054687499771e-01,4.094416608366409360e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,3.500000000000000000e+00
3.456239582031249702e-01,3.837822997718613738e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,3.750000000000000000e+00
3.228995558593750204e-01,4.186490921382891861e-02,4.000000000000000000e+00,nan,0.000000000000000000e+00,4.000000000000000000e+00
4.470554140624999895e-01,8.239984357933533010e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00
6.110970109375000181e-01,7.211354110415500729e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,2.500000000000000000e-01
6.567115109374999093e-01,7.975273312241791535e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,5.000000000000000000e-01
7.144381562499999561e-01,6.978248657571459179e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,7.500000000000000000e-01
6.786275218749999727e-01,7.928202579309519271e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,1.000000000000000000e+00
6.703479500000000257e-01,7.082077283876495044e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,1.250000000000000000e+00
7.224540453124999040e-01,8.938621845105715336e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,1.500000000000000000e+00
6.492971124999999954e-01,8.163880669439450843e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,1.750000000000000000e+00
7.219483734375000683e-01,7.622132006122100956e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,2.000000000000000000e+00
5.753356171875000369e-01,7.713027272078240570e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,2.250000000000000000e+00
5.768919249999999721e-01,6.680854095597288378e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,2.500000000000000000e+00
6.340089687499999016e-01,8.507676307848921482e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,2.750000000000000000e+00
6.066118437499999905e-01,7.387322438252057200e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,3.000000000000000000e+00
5.249573046875000149e-01,7.007681563572455696e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,3.250000000000000000e+00
4.373547203125000005e-01,7.330211883187559563e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,3.500000000000000000e+00
4.832531109375000078e-01,6.653665427439502122e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,3.750000000000000000e+00
5.379072218749999523e-01,7.114856083779401430e-02,8.000000000000000000e+00,nan,0.000000000000000000e+00,4.000000000000000000e+00
