# log(rho), p(log(rho))
-2.302585092994045901e+00,7.732295194562392054e-05
-2.186292916580205414e+00,1.089548268140447615e-04
-2.070000740166364483e+00,1.547617050538961842e-04
-1.953708563752523775e+00,2.192660970780024540e-04
-1.837416387338683066e+00,3.088734949281183272e-04
-1.721124210924842357e+00,4.283194118633790984e-04
-1.604832034511001648e+00,5.918221115901384829e-04
-1.488539858097160939e+00,8.180984943572463955e-04
-1.372247681683320231e+00,1.090616206609908850e-03
-1.255955505269479522e+00,1.445217484669186672e-03
-1.139663328855638813e+00,1.918193679109532826e-03
-1.023371152441798104e+00,2.543089167198958351e-03
-9.070789760279573954e-01,3.202112702691385995e-03
-7.907867996141166866e-01,4.133194448903773285e-03
-6.744946232002759778e-01,5.488543438320121759e-03
-5.582024467864352690e-01,7.017859863742951718e-03
-4.419102703725945602e-01,8.748121619062743104e-03
-3.256180939587538514e-01,1.132722763692918348e-02
-2.093259175449131426e-01,1.336586049455844305e-02
-9.303374113107221177e-02,1.578374753616785045e-02
2.325843528276827499e-02,1.836388967524233556e-02
1.395506116966087617e-01,2.041795685558133594e-02
2.558427881104496926e-01,2.282019670384184684e-02
3.721349645242906234e-01,2.588915582094027806e-02
4.884271409381311102e-01,2.916887741903902501e-02
6.047193173519715970e-01,3.146114246544660931e-02
7.210114937658125278e-01,3.475151431874147490e-02
8.373036701796534587e-01,3.730524318139900875e-02
9.535958465934939454e-01,3.958077283344745012e-02
1.069888023007334432e+00,3.991871333911069242e-02
1.186180199421175363e+00,4.237828379345606050e-02
1.302472375835016294e+00,4.510413025436937895e-02
1.418764552248856781e+00,4.656860204130689601e-02
1.535056728662697267e+00,4.892543015035377696e-02
1.651348905076538198e+00,5.040335817397333801e-02
1.767641081490379129e+00,5.129234344238896293e-02
1.883933257904219616e+00,5.199920116514431673e-02
2.000225434318060103e+00,5.304078230717246267e-02
2.116517610731901478e+00,5.384792601268939549e-02
2.232809787145741964e+00,5.491283858799285433e-02
2.349101963559582451e+00,5.467005637667433915e-02
2.465394139973422938e+00,5.440988628736095900e-02
2.581686316387263425e+00,5.461252004935131243e-02
2.697978492801104800e+00,5.372231475043200144e-02
2.814270669214945286e+00,5.287593708880154036e-02
2.930562845628785773e+00,5.305762662020510612e-02
3.046855022042627148e+00,5.250922856670682537e-02
3.163147198456467635e+00,5.241110337471448916e-02
3.279439374870308122e+00,5.241245303915298415e-02
3.395731551284148608e+00,5.109244974560591540e-02
3.512023727697989095e+00,5.046737301835326622e-02
3.628315904111830470e+00,4.824788790215568668e-02
3.744608080525670957e+00,4.730320535071548538e-02
3.860900256939511443e+00,4.598779729186032450e-02
3.977192433353352818e+00,4.426070397396519168e-02
4.093484609767193305e+00,4.387483571742341326e-02
4.209776786181033792e+00,4.159333180869575347e-02
4.326068962594874279e+00,4.012744241343881718e-02
4.442361139008714765e+00,3.737890082843232931e-02
4.558653315422556140e+00,3.614105389077065800e-02
4.674945491836396627e+00,3.486429909056611154e-02
4.791237668250237114e+00,3.345888483977791511e-02
4.907529844664078489e+00,3.240617061948690425e-02
5.023822021077918976e+00,3.052265377848959599e-02
5.140114197491759462e+00,2.842748921023859066e-02
5.256406373905599949e+00,2.800001748070765281e-02
5.372698550319440436e+00,2.677339528580627986e-02
5.488990726733281811e+00,2.598206937238289188e-02
5.605282903147122298e+00,2.582910911524273490e-02
5.721575079560962784e+00,2.435297930063185998e-02
5.837867255974804159e+00,2.317434918728865367e-02
5.954159432388643758e+00,2.076699382921377152e-02
6.070451608802485133e+00,1.903271970013094977e-02
6.186743785216326508e+00,1.875245475996461381e-02
6.303035961630166106e+00,1.749946325894675275e-02
6.419328138044007481e+00,1.634721171446993151e-02
6.535620314457848856e+00,1.529450698583026055e-02
6.651912490871688455e+00,1.360237121951218993e-02
6.768204667285529830e+00,1.199167102258661549e-02
6.884496843699369428e+00,1.148870278355576535e-02
7.000789020113210803e+00,1.054090907451418757e-02
7.117081196527052178e+00,9.245753920433346512e-03
7.233373372940891777e+00,8.850265848366230953e-03
7.349665549354733152e+00,9.028752113346284747e-03
7.465957725768572750e+00,8.499974078286016976e-03
7.582249902182414125e+00,7.556024259836710902e-03
7.698542078596255500e+00,7.126826156642835156e-03
7.814834255010095099e+00,6.852171900984999064e-03
7.931126431423936474e+00,6.692998566461949746e-03
8.047418607837776960e+00,6.095751631659137269e-03
8.163710784251616559e+00,5.477773601563455316e-03
8.280002960665459710e+00,5.590686885944783774e-03
8.396295137079299309e+00,5.184306718969949185e-03
8.512587313493138907e+00,4.961712771135736930e-03
8.628879489906982059e+00,4.793905199954145470e-03
8.745171666320821657e+00,4.458010835133871877e-03
8.861463842734661256e+00,3.999437676718822256e-03
8.977756019148504407e+00,3.924614082981855642e-03
9.094048195562344006e+00,3.316617826179537112e-03
9.210340371976183604e+00,3.015163939975394787e-03
