# time, lyapunov_exponent
2.000000000000000042e-03,1.344700907491771513e+00
4.000000000000000083e-03,1.448199213373249972e+00
1.600000000000000033e-02,2.758754757296691951e-01
3.200000000000000067e-02,3.422104725611354037e-01
6.400000000000000133e-02,6.135310194635188452e-01
1.280000000000000027e-01,8.478626306603227469e-01
2.560000000000000053e-01,9.542865332669485667e-01
5.120000000000000107e-01,9.675701095442025279e-01
1.024000000000000021e+00,8.870008008232934671e-01
1.536000000000000032e+00,7.645553329509856555e-01
2.048000000000000043e+00,5.858417920613929741e-01
4.096000000000000085e+00,8.564614804952937199e-02
8.192000000000000171e+00,2.502807654706118868e-04
