# delay,average_velocity_axis_0_t_inf__params_8o0,average_velocity_axis_0_t_inf__params_4o0
0.000000000000000000e+00,-1.445206874510962791e+01,1.973482913466128252e+00
1.632653061224489666e-01,-1.010458573974273833e+01,1.463870211544260558e+00
3.265306122448979331e-01,-5.919867452775091188e+00,1.029026758817743303e+00
4.897959183673469274e-01,-1.899475089014084128e+00,6.650245889370253183e-01
6.530612244897958663e-01,1.955030146732879004e+00,3.679357355525564310e-01
8.163265306122448051e-01,5.642087049658402798e+00,1.338322323147861648e-01
9.795918367346938549e-01,9.160134414955090065e+00,-4.121388712583576308e-02
1.142857142857142794e+00,1.250761103781553452e+01,-1.611305891188597184e-01
1.306122448979591733e+00,1.568295571343233696e+01,-2.298458400138362889e-01
1.469387755102040671e+00,1.868460723699810444e+01,-2.512876061603152578e-01
1.632653061224489610e+00,2.151100440370543154e+01,-2.293838539078485450e-01
1.795918367346938549e+00,2.416058600874692530e+01,-1.680625496059847679e-01
1.959183673469387710e+00,2.663179084731517676e+01,-7.125165960427559675e-02
2.122448979591836427e+00,2.892305771460279473e+01,5.712084974772868584e-02
2.285714285714285587e+00,3.103282540580237026e+01,2.131270121004795737e-01
2.448979591836734304e+00,3.295953271610650859e+01,3.928388611044235645e-01
2.612244897959183465e+00,3.470161844070781854e+01,5.923284304100122633e-01
2.775510204081632626e+00,3.625752137479889115e+01,8.076677536676952762e-01
2.938775510204081343e+00,3.762568031357233167e+01,1.034928864527922432e+00
3.102040816326530503e+00,3.880453405222073826e+01,1.270183796641141782e+00
3.265306122448979220e+00,3.979252138593670196e+01,1.509504583657802712e+00
3.428571428571428381e+00,4.058808110991283513e+01,1.748963259228355938e+00
3.591836734693877098e+00,4.118965201934175013e+01,1.984631857003253508e+00
3.755102040816326259e+00,4.159567290941602380e+01,2.212582410632939478e+00
3.918367346938775420e+00,4.180458257532825428e+01,2.428886953767868562e+00
4.081632653061224580e+00,4.181481981227106104e+01,2.629617520058486591e+00
4.244897959183672853e+00,4.162482341543704933e+01,2.810846143155245613e+00
4.408163265306122014e+00,4.123303218001879600e+01,2.968644856708593238e+00
4.571428571428571175e+00,4.063788490120890629e+01,3.099085694368985955e+00
4.734693877551020336e+00,3.983782037419999256e+01,3.198240689786860713e+00
4.897959183673468608e+00,3.883127739418465296e+01,3.262181876612679332e+00
5.061224489795917769e+00,3.761669475635547144e+01,3.286981288496882314e+00
5.224489795918366930e+00,3.619251125590508167e+01,3.268710959089922596e+00
5.387755102040816091e+00,3.455716568802605337e+01,3.203442922042253116e+00
5.551020408163265252e+00,3.270909684791099181e+01,3.087249211004319704e+00
5.714285714285713524e+00,3.064674353075254132e+01,2.916201859626575299e+00
5.877551020408162685e+00,2.836854453174322899e+01,2.686372901559469284e+00
6.040816326530611846e+00,2.587293864607568850e+01,2.393834370453440386e+00
6.204081632653061007e+00,2.315836466894252510e+01,2.034658299958948646e+00
6.367346938775509280e+00,2.022326139553632274e+01,1.604916723726447003e+00
6.530612244897958441e+00,1.706606762104970443e+01,1.100681675406377735e+00
6.693877551020407601e+00,1.368522214067527543e+01,5.180251886491902269e-01
6.857142857142856762e+00,1.007916374960560901e+01,-1.469807028946661376e-01
7.020408163265305923e+00,6.246331243033331759e+00,-8.982639655747348684e-01
7.183673469387754196e+00,2.185163416151056026e+00,-1.739752565740559476e+00
7.346938775510203357e+00,-2.105900935848669775e+00,-2.675374469741726102e+00
7.510204081632652517e+00,-6.628423017773229731e+00,-3.709057643927742731e+00
7.673469387755101678e+00,-1.138396403442999727e+01,-4.844730054648167084e+00
7.836734693877550839e+00,-1.637408519062640266e+01,-6.086319668252585302e+00
8.000000000000000000e+00,-2.160034769116981579e+01,-7.437754451090512475e+00
