# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,2.020031232887420369e+00,9.586292523411397287e-03
2.094395102393195318e-01,2.184341759721582399e+00,1.433078368367816024e-03
4.188790204786390636e-01,2.130167144706224036e+00,9.092709663833237329e-04
6.283185307179586232e-01,2.028130084218339402e+00,8.001254165670478383e-04
8.377580409572781273e-01,1.863490362151055013e+00,8.735978123268901526e-04
1.047197551196597631e+00,1.706650675746028689e+00,7.271158264383736480e-04
1.256637061435917246e+00,1.598966607321216316e+00,5.903344974394527777e-04
1.466076571675236861e+00,1.537197618576192193e+00,1.966456197698652694e-03
1.675516081914556255e+00,1.580054594346677277e+00,3.746396199570416110e-03
1.884955592153875870e+00,1.563606478339902850e+00,4.172878046993747959e-03
2.094395102393195263e+00,1.595691553993860312e+00,3.046844857688018639e-03
2.303834612632514656e+00,1.500097744804021138e+00,3.032157910566934088e-03
2.513274122871834493e+00,1.532744468845359753e+00,3.083926216856619756e-03
2.722713633111154330e+00,1.486019088560640578e+00,5.634204166302911841e-03
2.932153143350473723e+00,1.396683942628775599e+00,7.688410164544798482e-03
3.141592653589793116e+00,1.290952366425122788e+00,7.900709347991764428e-03
