# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,5.483930200265213495e-01,3.102349979628195656e-02
2.094395102393195318e-01,7.269102328311036754e-01,2.012992093717614131e-02
4.188790204786390636e-01,7.914864401940800986e-01,1.304384902529313016e-02
6.283185307179586232e-01,8.232376307121267445e-01,7.933089087744637016e-03
8.377580409572781273e-01,8.289047434099381384e-01,6.580407073735883641e-03
1.047197551196597631e+00,8.324349843312430774e-01,5.092765533160757696e-03
1.256637061435917246e+00,8.333228637460314836e-01,4.183339174961746808e-03
1.466076571675236861e+00,8.255071575180285004e-01,3.447967384058188162e-03
1.675516081914556255e+00,8.171356485099495748e-01,2.926821343498826195e-03
1.884955592153875870e+00,8.067126004240585679e-01,2.484177349551833398e-03
2.094395102393195263e+00,7.911556390073144485e-01,2.243996009321278830e-03
2.303834612632514656e+00,7.733972528509133193e-01,2.078292425459609197e-03
2.513274122871834493e+00,7.550893974573683609e-01,1.913892130653552367e-03
2.722713633111154330e+00,7.342378023699267509e-01,1.713418948893842162e-03
2.932153143350473723e+00,7.125661296089564889e-01,1.613389808032986671e-03
3.141592653589793116e+00,6.907903785225593118e-01,1.572177314003998490e-03
