# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,2.794598227780538124e-01,2.450462292337830805e-02
2.094395102393195318e-01,4.893403103703498069e-01,1.606154057684035588e-02
4.188790204786390636e-01,5.819320035813178027e-01,7.597564427976126120e-03
6.283185307179586232e-01,5.973117422316420733e-01,5.209514029734770360e-03
8.377580409572781273e-01,6.068998110088910103e-01,4.039390608882848129e-03
1.047197551196597631e+00,6.103440260549920504e-01,2.832056097998335038e-03
1.256637061435917246e+00,6.000336093416899219e-01,2.377745094678410196e-03
1.466076571675236861e+00,5.921257592149228310e-01,2.108938769219712538e-03
1.675516081914556255e+00,5.699413915502663519e-01,1.816911455820338335e-03
1.884955592153875870e+00,5.422540263941165728e-01,1.795307902609837025e-03
2.094395102393195263e+00,5.133034581559619003e-01,1.537672041050133038e-03
2.303834612632514656e+00,4.815780068792140378e-01,1.684403576277024046e-03
2.513274122871834493e+00,4.603958385659042141e-01,1.435513062297603514e-03
2.722713633111154330e+00,4.481905707181988441e-01,1.619978249669548707e-03
2.932153143350473723e+00,4.428317648110443594e-01,1.998360430159169809e-03
3.141592653589793116e+00,4.415915982895107228e-01,2.212656592895679945e-03
