# time,average_effective_velocity,95CLI
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.193776641714436315e-01,4.709715599301908528e-02,6.961056311270320471e-03
1.425102670302998142e-01,8.724694150261648462e-02,1.281533513938362852e-02
1.701254279852589257e-01,1.217201617780395845e-01,1.774475971388481815e-02
2.030917620904735821e-01,1.516118074314989905e-01,2.190121487752044044e-02
2.424462017082328336e-01,1.778766773227368481e-01,2.541073550390731198e-02
2.894266124716751154e-01,2.013607994878332530e-01,2.837680920906095541e-02
3.455107294592220102e-01,2.228299134805377391e-01,3.088268777118470185e-02
4.124626382901352417e-01,2.429946397500975797e-01,3.299269099432904084e-02
4.923882631706739121e-01,2.625326135053125953e-01,3.475251937862341989e-02
5.878016072274913073e-01,2.821113459629270848e-01,3.618886598326643417e-02
7.017038286703829453e-01,3.023950417505981703e-01,3.730811802206274869e-02
8.376776400682920398e-01,3.240010365936747960e-01,3.809379975249921335e-02
1.000000000000000000e+00,3.474745084598456213e-01,3.850700345091427612e-02
1.193776641714436870e+00,3.732928273981212519e-01,3.849507599767633403e-02
1.425102670302998531e+00,4.016477899608905111e-01,3.800147531221073627e-02
1.701254279852589146e+00,4.321127137541987961e-01,3.696744992401834046e-02
2.030917620904735710e+00,4.635281083145095793e-01,3.534314364080059362e-02
2.424462017082328114e+00,4.931791551881610780e-01,3.311743914323132115e-02
2.894266124716751598e+00,5.155132463659598541e-01,3.029529336052044081e-02
3.455107294592219880e+00,5.250556313989360735e-01,2.691271126902284455e-02
4.124626382901352528e+00,5.222091478081353211e-01,2.316926327717066733e-02
4.923882631706741897e+00,5.151836039810042678e-01,1.960989598639823958e-02
5.878016072274914627e+00,5.238969634009303933e-01,1.719323738374104252e-02
7.017038286703829897e+00,5.553054625097101349e-01,1.563587153639940663e-02
8.376776400682919288e+00,5.782829537125394603e-01,1.329155697087578379e-02
1.000000000000000000e+01,5.704524976815503745e-01,1.050562492569417916e-02
1.193776641714437048e+01,5.871903460080113435e-01,9.440873053765884773e-03
1.425102670302999286e+01,5.957726425406281168e-01,7.652556000996397004e-03
1.701254279852589235e+01,6.034488183365626091e-01,6.679252428242064311e-03
2.030917620904736864e+01,6.029301489605487507e-01,5.246910360234299450e-03
2.424462017082328202e+01,6.124833467102350770e-01,4.468655666452798526e-03
2.894266124716751776e+01,6.176681802862754589e-01,3.779614595520031876e-03
3.455107294592221479e+01,6.185301732874144420e-01,3.089754601929208411e-03
4.124626382901352173e+01,6.227177971169394199e-01,2.714009468215115416e-03
4.923882631706741364e+01,6.245859680924942259e-01,2.172027896501285953e-03
5.878016072274911608e+01,6.274407120697261808e-01,1.837344110665725585e-03
7.017038286703829897e+01,6.282356247814758765e-01,1.550243701604735874e-03
8.376776400682923907e+01,6.301198354320846073e-01,1.274562384834532214e-03
1.000000000000000000e+02,6.314793656844635006e-01,1.103084298356989557e-03
